,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฐณภฮ ผ๘ธลผ๖,ฟÜฑนภฮ ผ๘ธลผ๖,ฑโฐü ผ๘ธลผ๖
0,A031390,ณ์ฝสภฺผฟ,20210827,-77069,-24636,92998
1,A031390,ณ์ฝสภฺผฟ,20210826,-69925,-28466,89161
2,A031390,ณ์ฝสภฺผฟ,20210825,-70731,-31238,92630
3,A031390,ณ์ฝสภฺผฟ,20210824,-69478,-32816,90220
4,A031390,ณ์ฝสภฺผฟ,20210823,-62722,-32706,82946
5,A031390,ณ์ฝสภฺผฟ,20210820,-61278,-19187,69602
6,A031390,ณ์ฝสภฺผฟ,20210819,-71732,-3773,65734
7,A031390,ณ์ฝสภฺผฟ,20210818,-84537,24151,51467
8,A031390,ณ์ฝสภฺผฟ,20210817,-88613,31993,48050
9,A031390,ณ์ฝสภฺผฟ,20210813,-106106,53464,47622
10,A031390,ณ์ฝสภฺผฟ,20210812,-109775,56642,48048
11,A031390,ณ์ฝสภฺผฟ,20210811,-110717,56210,49572
12,A031390,ณ์ฝสภฺผฟ,20210810,-98711,39409,53883
13,A031390,ณ์ฝสภฺผฟ,20210809,-99999,39986,54741
14,A031390,ณ์ฝสภฺผฟ,20210806,-109546,45941,58391
15,A031390,ณ์ฝสภฺผฟ,20210805,-118559,51192,61935
16,A031390,ณ์ฝสภฺผฟ,20210804,-109220,48174,55628
17,A031390,ณ์ฝสภฺผฟ,20210803,-103699,46131,52231
18,A031390,ณ์ฝสภฺผฟ,20210802,-106095,46107,53753
19,A031390,ณ์ฝสภฺผฟ,20210730,-101016,45205,50486
20,A031390,ณ์ฝสภฺผฟ,20210729,-108607,49277,53778
21,A031390,ณ์ฝสภฺผฟ,20210728,-108424,50596,52271
22,A031390,ณ์ฝสภฺผฟ,20210727,-118549,57403,51848
23,A031390,ณ์ฝสภฺผฟ,20210726,-117512,58178,51505
24,A031390,ณ์ฝสภฺผฟ,20210723,-127119,68805,52728
25,A031390,ณ์ฝสภฺผฟ,20210722,-121787,66905,49706
26,A031390,ณ์ฝสภฺผฟ,20210721,-123826,74952,43689
27,A031390,ณ์ฝสภฺผฟ,20210720,-132949,82150,46462
28,A031390,ณ์ฝสภฺผฟ,20210719,-146473,98897,44751
29,A031390,ณ์ฝสภฺผฟ,20210716,-80306,68316,-5330
30,A031390,ณ์ฝสภฺผฟ,20210715,-41551,44003,-18575
31,A031390,ณ์ฝสภฺผฟ,20210714,-35278,37240,-18291
32,A031390,ณ์ฝสภฺผฟ,20210713,-48050,43675,-11869
33,A031390,ณ์ฝสภฺผฟ,20210712,-50553,47352,-12523
34,A031390,ณ์ฝสภฺผฟ,20210709,-44925,43243,-13623
35,A031390,ณ์ฝสภฺผฟ,20210708,-52326,51707,-13268
36,A031390,ณ์ฝสภฺผฟ,20210707,-56196,54145,-10871
37,A031390,ณ์ฝสภฺผฟ,20210706,-54474,56886,-12890
38,A031390,ณ์ฝสภฺผฟ,20210705,-61667,63616,-13106
39,A031390,ณ์ฝสภฺผฟ,20210702,-47355,54019,-18655
40,A031390,ณ์ฝสภฺผฟ,20210701,-52209,57664,-18485
41,A031390,ณ์ฝสภฺผฟ,20210630,-19475,23830,-15811
42,A031390,ณ์ฝสภฺผฟ,20210629,-16613,20911,-15287
43,A031390,ณ์ฝสภฺผฟ,20210628,-25681,26785,-11240
44,A031390,ณ์ฝสภฺผฟ,20210625,-22142,21816,-10800
45,A031390,ณ์ฝสภฺผฟ,20210624,-27971,26766,-9227
46,A031390,ณ์ฝสภฺผฟ,20210623,-36071,32110,-7060
47,A031390,ณ์ฝสภฺผฟ,20210622,-20833,20154,-8199
48,A031390,ณ์ฝสภฺผฟ,20210621,-25421,25129,-8690
49,A031390,ณ์ฝสภฺผฟ,20210618,-42268,39228,-5109
50,A031390,ณ์ฝสภฺผฟ,20210617,-37105,37390,-8425
51,A031390,ณ์ฝสภฺผฟ,20210616,-42609,40776,-6211
52,A031390,ณ์ฝสภฺผฟ,20210615,-53165,50967,-5642
53,A031390,ณ์ฝสภฺผฟ,20210614,-64156,59965,-3559
54,A031390,ณ์ฝสภฺผฟ,20210611,-63907,58853,-2629
55,A031390,ณ์ฝสภฺผฟ,20210610,-65767,63537,-4662
56,A031390,ณ์ฝสภฺผฟ,20210609,-45529,64684,-26052
57,A031390,ณ์ฝสภฺผฟ,20210608,-50628,72611,-28378
58,A031390,ณ์ฝสภฺผฟ,20210607,-49555,75255,-32192
59,A031390,ณ์ฝสภฺผฟ,20210604,-52591,78997,-32692
60,A031390,ณ์ฝสภฺผฟ,20210603,-60622,82039,-28791
61,A031390,ณ์ฝสภฺผฟ,20210602,-54325,77055,-29832
62,A031390,ณ์ฝสภฺผฟ,20210601,-60056,81492,-27214
63,A031390,ณ์ฝสภฺผฟ,20210531,-60897,81799,-26680
64,A031390,ณ์ฝสภฺผฟ,20210528,-59841,78580,-24288
65,A031390,ณ์ฝสภฺผฟ,20210527,-60392,79165,-24336
66,A031390,ณ์ฝสภฺผฟ,20210526,-46790,64881,-25037
67,A031390,ณ์ฝสภฺผฟ,20210525,-45880,63807,-24776
68,A031390,ณ์ฝสภฺผฟ,20210524,-36148,59000,-29700
69,A031390,ณ์ฝสภฺผฟ,20210521,-38218,60879,-29447
70,A031390,ณ์ฝสภฺผฟ,20210520,-36333,59342,-29720
71,A031390,ณ์ฝสภฺผฟ,20210518,-39041,63476,-31064
72,A031390,ณ์ฝสภฺผฟ,20210517,-23301,53638,-36946
73,A031390,ณ์ฝสภฺผฟ,20210514,-20007,49280,-35726
74,A031390,ณ์ฝสภฺผฟ,20210513,-10446,40825,-36072
75,A031390,ณ์ฝสภฺผฟ,20210512,-13854,44807,-36547
76,A031390,ณ์ฝสภฺผฟ,20210511,-19271,49435,-35712
77,A031390,ณ์ฝสภฺผฟ,20210510,-33035,56196,-29544
