,Á¾¸סÄÚµו,Á¾¸ס¸ם,³¯Â¥,°³ÀÎ ¼ר¸Å¼צ,¿Ü±¹ÀÎ ¼ר¸Å¼צ,±ג°ü ¼ר¸Å¼צ
0,A356890,½ÎÀÌ¹צ¿ר,20210827,1334780,-53894,-1064684
1,A356890,½ÎÀÌ¹צ¿ר,20210826,1334558,-53734,-1064684
2,A356890,½ÎÀÌ¹צ¿ר,20210825,1333480,-52656,-1064684
3,A356890,½ÎÀÌ¹צ¿ר,20210824,1330029,-49205,-1064684
4,A356890,½ÎÀÌ¹צ¿ר,20210823,1330041,-49901,-1064684
5,A356890,½ÎÀÌ¹צ¿ר,20210820,1334868,-54667,-1064684
6,A356890,½ÎÀÌ¹צ¿ר,20210819,1333166,-52831,-1064784
7,A356890,½ÎÀÌ¹צ¿ר,20210818,1337777,-55089,-1064784
8,A356890,½ÎÀÌ¹צ¿ר,20210817,1338116,-56117,-1063828
9,A356890,½ÎÀÌ¹צ¿ר,20210813,1335249,-48072,-1063828
10,A356890,½ÎÀÌ¹צ¿ר,20210812,1331416,-45040,-1056222
11,A356890,½ÎÀÌ¹צ¿ר,20210811,1322664,-36684,-1054632
12,A356890,½ÎÀÌ¹צ¿ר,20210810,1322598,-36582,-1054632
13,A356890,½ÎÀÌ¹צ¿ר,20210809,1333013,-47789,-1054632
14,A356890,½ÎÀÌ¹צ¿ר,20210806,1315875,-43650,-1054632
15,A356890,½ÎÀÌ¹צ¿ר,20210805,1312347,-40075,-1054632
16,A356890,½ÎÀÌ¹צ¿ר,20210804,1305043,-35856,-1053912
17,A356890,½ÎÀÌ¹צ¿ר,20210803,1329686,-56142,-1053912
18,A356890,½ÎÀÌ¹צ¿ר,20210802,1339744,-57643,-1053912
19,A356890,½ÎÀÌ¹צ¿ר,20210730,1339949,-57202,-1053912
20,A356890,½ÎÀÌ¹צ¿ר,20210729,1325605,-41596,-1053423
21,A356890,½ÎÀÌ¹צ¿ר,20210728,1320527,-47197,-1044333
22,A356890,½ÎÀÌ¹צ¿ר,20210727,1331066,-48160,-1050164
23,A356890,½ÎÀÌ¹צ¿ר,20210726,1341429,-55734,-1053074
24,A356890,½ÎÀÌ¹צ¿ר,20210723,1321184,-48480,-1039013
