,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,╟Ёюн ╪Ь╦е╪Ж,©э╠╧юн ╪Ь╦е╪Ж,╠Б╟Э ╪Ь╦е╪Ж
0,A057540,©х╢о╫ц╫╨еш,20210827,-1839106,1857644,-105
1,A057540,©х╢о╫ц╫╨еш,20210826,-2242334,2256948,9670
2,A057540,©х╢о╫ц╫╨еш,20210825,-2235265,2249129,12691
3,A057540,©х╢о╫ц╫╨еш,20210824,-2173680,2187650,12691
4,A057540,©х╢о╫ц╫╨еш,20210823,-2061834,2076216,12691
5,A057540,©х╢о╫ц╫╨еш,20210820,-1793171,1807615,12691
6,A057540,©х╢о╫ц╫╨еш,20210819,-1550557,1562652,12691
7,A057540,©х╢о╫ц╫╨еш,20210818,-1332877,1344282,12691
8,A057540,©х╢о╫ц╫╨еш,20210817,-1071654,1083129,12691
9,A057540,©х╢о╫ц╫╨еш,20210813,-1095970,1109690,9182
10,A057540,©х╢о╫ц╫╨еш,20210812,-917174,927245,9182
11,A057540,©х╢о╫ц╫╨еш,20210811,-793020,804958,9182
12,A057540,©х╢о╫ц╫╨еш,20210810,-734369,741604,9182
13,A057540,©х╢о╫ц╫╨еш,20210809,-445713,457776,9182
14,A057540,©х╢о╫ц╫╨еш,20210806,-455207,473547,5936
15,A057540,©х╢о╫ц╫╨еш,20210805,-523428,540681,5936
16,A057540,©х╢о╫ц╫╨еш,20210804,-578964,600915,5936
17,A057540,©х╢о╫ц╫╨еш,20210803,-420194,440516,5936
18,A057540,©х╢о╫ц╫╨еш,20210802,-621712,641902,5936
19,A057540,©х╢о╫ц╫╨еш,20210730,-327080,346161,5936
20,A057540,©х╢о╫ц╫╨еш,20210729,-199614,213127,5936
21,A057540,©х╢о╫ц╫╨еш,20210728,-77127,94429,2916
22,A057540,©х╢о╫ц╫╨еш,20210727,-175179,174899,2916
23,A057540,©х╢о╫ц╫╨еш,20210726,-371117,-59528,466014
24,A057540,©х╢о╫ц╫╨еш,20210723,-721781,43741,670702
25,A057540,©х╢о╫ц╫╨еш,20210722,-708270,47225,650571
26,A057540,©х╢о╫ц╫╨еш,20210721,21677,-34126,-105
27,A057540,©х╢о╫ц╫╨еш,20210720,-766867,95957,634414
28,A057540,©х╢о╫ц╫╨еш,20210719,-901863,464677,419080
29,A057540,©х╢о╫ц╫╨еш,20210716,-1676386,1288591,380465
30,A057540,©х╢о╫ц╫╨еш,20210715,15156,-10012,1
31,A057540,©х╢о╫ц╫╨еш,20210714,111131,-115550,1
32,A057540,©х╢о╫ц╫╨еш,20210713,-62867,60526,1
33,A057540,©х╢о╫ц╫╨еш,20210712,-147242,157046,1
34,A057540,©х╢о╫ц╫╨еш,20210709,-137824,146019,1
35,A057540,©х╢о╫ц╫╨еш,20210708,12140,-2544,0
36,A057540,©х╢о╫ц╫╨еш,20210707,59045,-47617,0
