,曽鯉坪球,曽鯉誤,劾促,鯵昔 授古呪,須厩昔 授古呪,奄淫 授古呪
0,A011300,失照,20210827,-24449,16398,-122
1,A011300,失照,20210826,-24449,16398,-122
2,A011300,失照,20210825,-24449,16398,-122
3,A011300,失照,20210824,-24449,16398,-122
4,A011300,失照,20210823,-24449,16398,-122
5,A011300,失照,20210820,-24449,16398,-122
6,A011300,失照,20210819,-24449,16398,-122
7,A011300,失照,20210818,-24449,16398,-122
8,A011300,失照,20210817,-24449,16398,-122
9,A011300,失照,20210813,-24449,16398,-122
10,A011300,失照,20210812,-24449,16398,-122
11,A011300,失照,20210811,-24449,16398,-122
12,A011300,失照,20210810,-24449,16398,-122
13,A011300,失照,20210809,-24449,16398,-122
14,A011300,失照,20210806,-24449,16398,-122
15,A011300,失照,20210805,-24449,16398,-122
16,A011300,失照,20210804,-24449,16398,-122
17,A011300,失照,20210803,-24449,16398,-122
18,A011300,失照,20210802,-24449,16398,-122
19,A011300,失照,20210730,-24449,16398,-122
20,A011300,失照,20210729,-24449,16398,-122
21,A011300,失照,20210728,-24449,16398,-122
22,A011300,失照,20210727,-24449,16398,-122
23,A011300,失照,20210726,-24449,16398,-122
24,A011300,失照,20210723,-24449,16398,-122
25,A011300,失照,20210722,-24449,16398,-122
26,A011300,失照,20210721,-24449,16398,-122
27,A011300,失照,20210720,-24449,16398,-122
28,A011300,失照,20210719,-24449,16398,-122
29,A011300,失照,20210716,-24449,16398,-122
30,A011300,失照,20210715,-24449,16398,-122
31,A011300,失照,20210714,-24449,16398,-122
32,A011300,失照,20210713,-24449,16398,-122
33,A011300,失照,20210712,-24449,16398,-122
34,A011300,失照,20210709,-24449,16398,-122
35,A011300,失照,20210708,-24449,16398,-122
36,A011300,失照,20210707,-24449,16398,-122
37,A011300,失照,20210706,-24449,16398,-122
38,A011300,失照,20210705,-24449,16398,-122
39,A011300,失照,20210702,-24449,16398,-122
40,A011300,失照,20210701,-24449,16398,-122
41,A011300,失照,20210630,-24449,16398,-122
42,A011300,失照,20210629,-24449,16398,-122
43,A011300,失照,20210628,-24449,16398,-122
44,A011300,失照,20210625,-24449,16398,-122
45,A011300,失照,20210624,-24449,16398,-122
46,A011300,失照,20210623,-24449,16398,-122
47,A011300,失照,20210622,-24449,16398,-122
48,A011300,失照,20210621,-24449,16398,-122
49,A011300,失照,20210618,-24449,16398,-122
50,A011300,失照,20210617,-24449,16398,-122
51,A011300,失照,20210616,-24449,16398,-122
52,A011300,失照,20210615,-24449,16398,-122
53,A011300,失照,20210614,-24449,16398,-122
54,A011300,失照,20210611,-24449,16398,-122
55,A011300,失照,20210610,-24449,16398,-122
56,A011300,失照,20210609,-24449,16398,-122
57,A011300,失照,20210608,-24449,16398,-122
58,A011300,失照,20210607,-24449,16398,-122
59,A011300,失照,20210604,-24449,16398,-122
60,A011300,失照,20210603,-24449,16398,-122
61,A011300,失照,20210602,-24449,16398,-122
62,A011300,失照,20210601,-24449,16398,-122
63,A011300,失照,20210531,-24449,16398,-122
64,A011300,失照,20210528,-24449,16398,-122
65,A011300,失照,20210527,-24449,16398,-122
66,A011300,失照,20210526,-24449,16398,-122
67,A011300,失照,20210525,-24449,16398,-122
68,A011300,失照,20210524,-24449,16398,-122
69,A011300,失照,20210521,-24449,16398,-122
70,A011300,失照,20210520,-24449,16398,-122
71,A011300,失照,20210518,-24449,16398,-122
72,A011300,失照,20210517,-24449,16398,-122
73,A011300,失照,20210514,-24449,16398,-122
74,A011300,失照,20210513,-24449,16398,-122
75,A011300,失照,20210512,-24449,16398,-122
76,A011300,失照,20210511,-24449,16398,-122
77,A011300,失照,20210510,-24449,16398,-122
78,A011300,失照,20210507,-24449,16398,-122
79,A011300,失照,20210506,-24449,16398,-122
80,A011300,失照,20210504,-24449,16398,-122
81,A011300,失照,20210503,-24449,16398,-122
82,A011300,失照,20210430,-24449,16398,-122
83,A011300,失照,20210429,-24449,16398,-122
84,A011300,失照,20210428,-24449,16398,-122
85,A011300,失照,20210427,-24449,16398,-122
86,A011300,失照,20210426,-24449,16398,-122
87,A011300,失照,20210423,-24449,16398,-122
88,A011300,失照,20210422,-24449,16398,-122
89,A011300,失照,20210421,-24449,16398,-122
90,A011300,失照,20210420,-24449,16398,-122
91,A011300,失照,20210419,-24449,16398,-122
92,A011300,失照,20210416,-24449,16398,-122
93,A011300,失照,20210415,-24449,16398,-122
94,A011300,失照,20210414,-24449,16398,-122
95,A011300,失照,20210413,-24449,16398,-122
96,A011300,失照,20210412,-24449,16398,-122
97,A011300,失照,20210409,-24449,16398,-122
98,A011300,失照,20210408,-24449,16398,-122
99,A011300,失照,20210407,-24449,16398,-122
100,A011300,失照,20210406,-24449,16398,-122
101,A011300,失照,20210405,-24449,16398,-122
102,A011300,失照,20210402,-24449,16398,-122
103,A011300,失照,20210401,-24449,16398,-122
104,A011300,失照,20210331,-24449,16398,-122
105,A011300,失照,20210330,-24449,16398,-122
106,A011300,失照,20210329,-24449,16398,-122
107,A011300,失照,20210326,-24449,16398,-122
108,A011300,失照,20210325,-24449,16398,-122
109,A011300,失照,20210324,-24449,16398,-122
110,A011300,失照,20210323,-24449,16398,-122
111,A011300,失照,20210322,-24449,16398,-122
112,A011300,失照,20210319,-676996,165795,452863
113,A011300,失照,20210318,-623268,188181,404037
114,A011300,失照,20210317,-1023565,960181,-26
115,A011300,失照,20210316,-403008,316474,-68
116,A011300,失照,20210315,-859245,740577,-66
117,A011300,失照,20210312,-344971,247952,23
118,A011300,失照,20210311,-319112,289414,27
