,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,╟Ёюн ╪Ь╦е╪Ж,©э╠╧юн ╪Ь╦е╪Ж,╠Б╟Э ╪Ь╦е╪Ж
0,A023160,еб╠╓,20210827,-1633245,-358198,2055901
1,A023160,еб╠╓,20210826,-1642456,-349847,2052455
2,A023160,еб╠╓,20210825,-1659620,-329956,2043959
3,A023160,еб╠╓,20210824,-1656139,-317648,2025491
4,A023160,еб╠╓,20210823,-1656819,-301128,2005842
5,A023160,еб╠╓,20210820,-1606860,-304977,1955130
6,A023160,еб╠╓,20210819,-1587138,-279201,1910716
7,A023160,еб╠╓,20210818,-1577314,-331892,1945002
8,A023160,еб╠╓,20210817,-1541315,-369493,1946687
9,A023160,еб╠╓,20210813,-1544042,-373429,1952049
10,A023160,еб╠╓,20210812,-1514168,-402999,1949596
11,A023160,еб╠╓,20210811,-1515646,-402086,1949739
12,A023160,еб╠╓,20210810,-1498088,-419914,1949223
13,A023160,еб╠╓,20210809,-1503752,-425216,1965891
14,A023160,еб╠╓,20210806,-1516049,-418067,1966012
15,A023160,еб╠╓,20210805,-1492298,-424996,1947859
16,A023160,еб╠╓,20210804,-1507419,-411422,1944947
17,A023160,еб╠╓,20210803,-1457696,-415483,1897340
18,A023160,еб╠╓,20210802,-1424789,-412871,1861719
19,A023160,еб╠╓,20210730,-1432487,-399687,1857275
20,A023160,еб╠╓,20210729,-1421475,-388048,1816134
21,A023160,еб╠╓,20210728,-1421326,-367697,1795106
22,A023160,еб╠╓,20210727,-1362808,-390710,1758106
23,A023160,еб╠╓,20210726,-1399057,-366717,1766542
24,A023160,еб╠╓,20210723,-1349408,-386144,1734294
25,A023160,еб╠╓,20210722,-1298902,-394299,1689491
26,A023160,еб╠╓,20210721,-1298057,-385987,1680578
27,A023160,еб╠╓,20210720,-1257008,-376659,1621197
28,A023160,еб╠╓,20210719,-1205194,-401530,1590307
29,A023160,еб╠╓,20210716,-1176287,-384590,1548999
30,A023160,еб╠╓,20210715,-1122019,-394347,1505738
31,A023160,еб╠╓,20210714,-1173001,-325960,1475923
32,A023160,еб╠╓,20210713,-1098030,-315213,1381375
33,A023160,еб╠╓,20210712,-1010424,-315924,1292433
34,A023160,еб╠╓,20210709,-903871,-318145,1192040
35,A023160,еб╠╓,20210708,-890475,-311915,1169509
36,A023160,еб╠╓,20210707,-890473,-302256,1161961
37,A023160,еб╠╓,20210706,-894160,-264627,1129613
38,A023160,еб╠╓,20210705,-798268,-280509,1045437
39,A023160,еб╠╓,20210702,-789197,-260533,1015305
40,A023160,еб╠╓,20210701,-703843,-257737,925506
41,A023160,еб╠╓,20210630,-695196,-249418,908540
42,A023160,еб╠╓,20210629,-694128,-229911,890245
43,A023160,еб╠╓,20210628,-682555,-206617,855682
44,A023160,еб╠╓,20210625,-656663,-222321,841828
45,A023160,еб╠╓,20210624,-678780,-175327,820741
46,A023160,еб╠╓,20210623,-677294,-150977,793660
47,A023160,еб╠╓,20210622,-590198,-102492,656899
48,A023160,еб╠╓,20210621,-627204,-73969,664842
49,A023160,еб╠╓,20210618,-579405,-136445,682914
50,A023160,еб╠╓,20210617,-631125,-77880,685391
51,A023160,еб╠╓,20210616,-750215,-83401,802010
52,A023160,еб╠╓,20210615,-793639,-84749,846489
53,A023160,еб╠╓,20210614,-824604,-72311,865068
54,A023160,еб╠╓,20210611,-808449,-77609,854211
55,A023160,еб╠╓,20210610,-858845,-64247,891726
56,A023160,еб╠╓,20210609,-837895,-67843,874372
57,A023160,еб╠╓,20210608,-785852,-131741,886214
58,A023160,еб╠╓,20210607,-845867,-119215,936887
59,A023160,еб╠╓,20210604,-855550,-107162,937100
60,A023160,еб╠╓,20210603,-874323,-92488,937241
61,A023160,еб╠╓,20210602,-846667,-84559,901009
62,A023160,еб╠╓,20210601,-788637,-89444,844386
63,A023160,еб╠╓,20210531,-784485,-90354,840092
64,A023160,еб╠╓,20210528,-791924,-89484,845172
65,A023160,еб╠╓,20210527,-743779,-97464,801712
66,A023160,еб╠╓,20210526,-761117,-80011,803622
67,A023160,еб╠╓,20210525,-715948,-88552,767550
68,A023160,еб╠╓,20210524,-757384,-50523,772982
69,A023160,еб╠╓,20210521,-762732,-51407,779457
70,A023160,еб╠╓,20210520,-824718,-94042,888220
71,A023160,еб╠╓,20210518,-801303,-59585,829324
72,A023160,еб╠╓,20210517,-829419,-24301,824457
73,A023160,еб╠╓,20210514,-828552,31005,767058
74,A023160,еб╠╓,20210513,-757557,-27939,754346
75,A023160,еб╠╓,20210512,-721642,-64373,750784
76,A023160,еб╠╓,20210511,-755566,-29561,752086
77,A023160,еб╠╓,20210510,-742677,-32457,737817
78,A023160,еб╠╓,20210507,-755778,-1156,713454
79,A023160,еб╠╓,20210506,-803677,66084,696150
80,A023160,еб╠╓,20210504,-644431,-15317,632932
81,A023160,еб╠╓,20210503,-611391,-37118,622152
82,A023160,еб╠╓,20210430,-582671,-27947,586583
83,A023160,еб╠╓,20210429,-605665,52158,531048
84,A023160,еб╠╓,20210428,-614431,49254,543717
85,A023160,еб╠╓,20210427,-883738,204695,657380
86,A023160,еб╠╓,20210426,-884042,199285,656305
87,A023160,еб╠╓,20210423,-808373,110253,670839
88,A023160,еб╠╓,20210422,-809386,113297,669602
89,A023160,еб╠╓,20210421,-859895,175193,659862
90,A023160,еб╠╓,20210420,-893898,210071,666422
91,A023160,еб╠╓,20210419,-851264,195685,637010
92,A023160,еб╠╓,20210416,-877585,201679,653123
93,A023160,еб╠╓,20210415,-844779,216311,606599
94,A023160,еб╠╓,20210414,-843952,207551,602336
95,A023160,еб╠╓,20210413,-773531,190229,558188
96,A023160,еб╠╓,20210412,-748398,211832,509919
97,A023160,еб╠╓,20210409,-697234,213462,458725
98,A023160,еб╠╓,20210408,-768139,314861,430339
99,A023160,еб╠╓,20210407,-529221,192969,306521
100,A023160,еб╠╓,20210406,-502872,190466,297930
101,A023160,еб╠╓,20210405,-507219,194716,301059
102,A023160,еб╠╓,20210402,-484415,171143,299870
103,A023160,еб╠╓,20210401,-492883,197569,282196
104,A023160,еб╠╓,20210331,-717116,336445,355638
105,A023160,еб╠╓,20210330,-527684,251494,253981
106,A023160,еб╠╓,20210329,-605315,348662,233652
107,A023160,еб╠╓,20210326,-291991,131768,156520
108,A023160,еб╠╓,20210325,-240791,95508,141799
109,A023160,еб╠╓,20210324,-264339,114799,146065
110,A023160,еб╠╓,20210323,-248193,102196,146022
111,A023160,еб╠╓,20210322,-252411,88599,163194
