,Á¾¸סÄÚµו,Á¾¸ס¸ם,³¯Â¥,°³ÀÎ ¼ר¸Å¼צ,¿Ü±¹ÀÎ ¼ר¸Å¼צ,±ג°ü ¼ר¸Å¼צ
0,A091120,ÀÌ¿¥ÅØ,20210827,423686,-559630,589893
1,A091120,ÀÌ¿¥ÅØ,20210826,331333,-479118,601621
2,A091120,ÀÌ¿¥ÅØ,20210825,357612,-482409,565727
3,A091120,ÀÌ¿¥ÅØ,20210824,375092,-461206,528956
4,A091120,ÀÌ¿¥ÅØ,20210823,427450,-433775,452215
5,A091120,ÀÌ¿¥ÅØ,20210820,458146,-389629,378463
6,A091120,ÀÌ¿¥ÅØ,20210819,482490,-345563,315492
7,A091120,ÀÌ¿¥ÅØ,20210818,480861,-313341,280564
8,A091120,ÀÌ¿¥ÅØ,20210817,469024,-308848,281467
9,A091120,ÀÌ¿¥ÅØ,20210813,478023,-273947,237699
10,A091120,ÀÌ¿¥ÅØ,20210812,436132,-314995,316484
11,A091120,ÀÌ¿¥ÅØ,20210811,408273,-320659,350546
12,A091120,ÀÌ¿¥ÅØ,20210810,374998,-280897,346616
13,A091120,ÀÌ¿¥ÅØ,20210809,317301,-251500,378001
14,A091120,ÀÌ¿¥ÅØ,20210806,249528,-201494,397519
15,A091120,ÀÌ¿¥ÅØ,20210805,163180,-107188,389417
16,A091120,ÀÌ¿¥ÅØ,20210804,422781,-366528,384686
17,A091120,ÀÌ¿¥ÅØ,20210803,435357,-369507,374126
18,A091120,ÀÌ¿¥ÅØ,20210802,396127,-322015,372176
19,A091120,ÀÌ¿¥ÅØ,20210730,371344,-304612,383352
20,A091120,ÀÌ¿¥ÅØ,20210729,357224,-280681,375630
21,A091120,ÀÌ¿¥ÅØ,20210728,340744,-263753,375738
22,A091120,ÀÌ¿¥ÅØ,20210727,324674,-243284,372318
23,A091120,ÀÌ¿¥ÅØ,20210726,338001,-245784,362217
24,A091120,ÀÌ¿¥ÅØ,20210723,272598,-178858,359831
25,A091120,ÀÌ¿¥ÅØ,20210722,290782,-131595,293448
26,A091120,ÀÌ¿¥ÅØ,20210721,299462,-93756,252918
27,A091120,ÀÌ¿¥ÅØ,20210720,336754,-70275,191161
28,A091120,ÀÌ¿¥ÅØ,20210719,339100,-108967,224828
29,A091120,ÀÌ¿¥ÅØ,20210716,293338,-85285,245840
30,A091120,ÀÌ¿¥ÅØ,20210715,280873,-79188,251102
31,A091120,ÀÌ¿¥ÅØ,20210714,392912,-129759,193443
32,A091120,ÀÌ¿¥ÅØ,20210713,712939,-387981,129978
33,A091120,ÀÌ¿¥ÅØ,20210712,841926,-427614,28530
34,A091120,ÀÌ¿¥ÅØ,20210709,1110826,-575173,-83454
35,A091120,ÀÌ¿¥ÅØ,20210708,1079758,-597754,-31700
36,A091120,ÀÌ¿¥ÅØ,20210707,1030714,-594288,5631
37,A091120,ÀÌ¿¥ÅØ,20210706,1008815,-588594,17991
38,A091120,ÀÌ¿¥ÅØ,20210705,1005424,-584486,17519
39,A091120,ÀÌ¿¥ÅØ,20210702,1008639,-591152,18603
40,A091120,ÀÌ¿¥ÅØ,20210701,1000714,-596168,22896
41,A091120,ÀÌ¿¥ÅØ,20210630,929968,-586182,74659
42,A091120,ÀÌ¿¥ÅØ,20210629,938837,-595842,75280
43,A091120,ÀÌ¿¥ÅØ,20210628,925886,-585445,78065
44,A091120,ÀÌ¿¥ÅØ,20210625,913487,-578653,83284
45,A091120,ÀÌ¿¥ÅØ,20210624,890274,-570968,94563
46,A091120,ÀÌ¿¥ÅØ,20210623,894449,-579141,94374
47,A091120,ÀÌ¿¥ÅØ,20210622,857808,-547023,98008
48,A091120,ÀÌ¿¥ÅØ,20210621,857956,-556088,103363
49,A091120,ÀÌ¿¥ÅØ,20210618,851728,-533115,97565
50,A091120,ÀÌ¿¥ÅØ,20210617,825402,-506065,98448
51,A091120,ÀÌ¿¥ÅØ,20210616,915617,-623002,119722
52,A091120,ÀÌ¿¥ÅØ,20210615,923873,-640652,135244
53,A091120,ÀÌ¿¥ÅØ,20210614,929459,-647335,137907
54,A091120,ÀÌ¿¥ÅØ,20210611,904268,-649939,166720
55,A091120,ÀÌ¿¥ÅØ,20210610,902508,-650222,169486
56,A091120,ÀÌ¿¥ÅØ,20210609,883428,-654539,193831
57,A091120,ÀÌ¿¥ÅØ,20210608,841735,-606607,190652
58,A091120,ÀÌ¿¥ÅØ,20210607,849641,-606447,182588
59,A091120,ÀÌ¿¥ÅØ,20210604,839773,-600853,185724
60,A091120,ÀÌ¿¥ÅØ,20210603,856243,-620209,185797
61,A091120,ÀÌ¿¥ÅØ,20210602,819518,-622560,227034
62,A091120,ÀÌ¿¥ÅØ,20210601,794146,-611564,242611
63,A091120,ÀÌ¿¥ÅØ,20210531,754610,-626446,297009
64,A091120,ÀÌ¿¥ÅØ,20210528,714672,-612338,323380
65,A091120,ÀÌ¿¥ÅØ,20210527,697424,-603629,333172
66,A091120,ÀÌ¿¥ÅØ,20210526,669436,-596868,359344
67,A091120,ÀÌ¿¥ÅØ,20210525,673748,-605840,369236
68,A091120,ÀÌ¿¥ÅØ,20210524,648392,-641109,423127
69,A091120,ÀÌ¿¥ÅØ,20210521,658844,-647483,424299
70,A091120,ÀÌ¿¥ÅØ,20210520,673803,-642488,396564
71,A091120,ÀÌ¿¥ÅØ,20210518,665835,-636058,405916
72,A091120,ÀÌ¿¥ÅØ,20210517,663509,-650511,413630
73,A091120,ÀÌ¿¥ÅØ,20210514,550134,-643998,527729
74,A091120,ÀÌ¿¥ÅØ,20210513,448132,-615564,586335
75,A091120,ÀÌ¿¥ÅØ,20210512,452863,-599716,559156
76,A091120,ÀÌ¿¥ÅØ,20210511,348873,-527832,572431
77,A091120,ÀÌ¿¥ÅØ,20210510,315057,-510670,588847
78,A091120,ÀÌ¿¥ÅØ,20210507,265171,-505864,604610
79,A091120,ÀÌ¿¥ÅØ,20210506,256649,-506651,615171
80,A091120,ÀÌ¿¥ÅØ,20210504,175781,-472197,661325
81,A091120,ÀÌ¿¥ÅØ,20210503,44830,-396759,683833
82,A091120,ÀÌ¿¥ÅØ,20210430,82819,-421093,665727
83,A091120,ÀÌ¿¥ÅØ,20210429,40930,-355058,644780
84,A091120,ÀÌ¿¥ÅØ,20210428,43674,-327618,615096
85,A091120,ÀÌ¿¥ÅØ,20210427,-23142,-256158,610131
86,A091120,ÀÌ¿¥ÅØ,20210426,-43767,-212961,586650
87,A091120,ÀÌ¿¥ÅØ,20210423,-45894,-187126,563506
88,A091120,ÀÌ¿¥ÅØ,20210422,-133578,-95098,559764
89,A091120,ÀÌ¿¥ÅØ,20210421,-82601,-97827,509057
90,A091120,ÀÌ¿¥ÅØ,20210420,269078,-128287,152921
91,A091120,ÀÌ¿¥ÅØ,20210419,412644,-208540,78604
92,A091120,ÀÌ¿¥ÅØ,20210416,410358,-214517,83598
93,A091120,ÀÌ¿¥ÅØ,20210415,404220,-204479,81758
94,A091120,ÀÌ¿¥ÅØ,20210414,409242,-204421,78995
95,A091120,ÀÌ¿¥ÅØ,20210413,381896,-203781,107736
96,A091120,ÀÌ¿¥ÅØ,20210412,351325,-178474,112218
97,A091120,ÀÌ¿¥ÅØ,20210409,353353,-175498,106947
98,A091120,ÀÌ¿¥ÅØ,20210408,256443,-115347,143100
99,A091120,ÀÌ¿¥ÅØ,20210407,265703,-90480,110205
100,A091120,ÀÌ¿¥ÅØ,20210406,172269,-24205,136638
101,A091120,ÀÌ¿¥ÅØ,20210405,68001,-200716,116020
102,A091120,ÀÌ¿¥ÅØ,20210402,74198,-208666,103720
103,A091120,ÀÌ¿¥ÅØ,20210401,39378,-173934,101912
104,A091120,ÀÌ¿¥ÅØ,20210331,100273,-231610,101484
105,A091120,ÀÌ¿¥ÅØ,20210330,77364,-225544,116480
106,A091120,ÀÌ¿¥ÅØ,20210329,37887,-201253,139556
107,A091120,ÀÌ¿¥ÅØ,20210326,24828,-184177,138479
108,A091120,ÀÌ¿¥ÅØ,20210325,-32763,-142428,155255
109,A091120,ÀÌ¿¥ÅØ,20210324,-63818,-109263,156359
110,A091120,ÀÌ¿¥ÅØ,20210323,-35957,-104789,123194
111,A091120,ÀÌ¿¥ÅØ,20210322,-52339,-83211,122931
112,A091120,ÀÌ¿¥ÅØ,20210319,-97139,-28303,118984
113,A091120,ÀÌ¿¥ÅØ,20210318,-16592,-45617,48234
114,A091120,ÀÌ¿¥ÅØ,20210317,-40930,41265,-14905
115,A091120,ÀÌ¿¥ÅØ,20210316,15232,22989,-53194
116,A091120,ÀÌ¿¥ÅØ,20210315,22516,23917,-54996
117,A091120,ÀÌ¿¥ÅØ,20210312,-10522,59868,-54997
118,A091120,ÀÌ¿¥ÅØ,20210311,9574,34150,-51559
