,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ º¯∏≈ºˆ,ø‹±π¿Œ º¯∏≈ºˆ,±‚∞¸ º¯∏≈ºˆ
0,A011500,«—≥Û»≠º∫,20210827,699472,-88254,-4007
1,A011500,«—≥Û»≠º∫,20210826,709539,-98451,-4012
2,A011500,«—≥Û»≠º∫,20210825,717891,-107315,-4021
3,A011500,«—≥Û»≠º∫,20210824,714527,-103908,-4024
4,A011500,«—≥Û»≠º∫,20210823,717923,-106185,-3981
5,A011500,«—≥Û»≠º∫,20210820,723233,-110558,-5434
6,A011500,«—≥Û»≠º∫,20210819,725316,-111146,-7004
7,A011500,«—≥Û»≠º∫,20210818,713507,-100059,-6658
8,A011500,«—≥Û»≠º∫,20210817,719088,-112904,77
9,A011500,«—≥Û»≠º∫,20210813,694539,-76645,-10421
10,A011500,«—≥Û»≠º∫,20210812,681878,-63258,-10602
11,A011500,«—≥Û»≠º∫,20210811,708438,-89649,-10676
12,A011500,«—≥Û»≠º∫,20210810,702311,-82663,-10655
13,A011500,«—≥Û»≠º∫,20210809,700812,-81113,-10534
14,A011500,«—≥Û»≠º∫,20210806,697698,-78056,-10493
15,A011500,«—≥Û»≠º∫,20210805,691465,-72009,-10266
16,A011500,«—≥Û»≠º∫,20210804,688622,-72095,-10431
17,A011500,«—≥Û»≠º∫,20210803,694521,-74773,-10431
18,A011500,«—≥Û»≠º∫,20210802,688763,-69453,-10449
19,A011500,«—≥Û»≠º∫,20210730,674384,-60321,-6923
20,A011500,«—≥Û»≠º∫,20210729,670126,-55875,-6923
21,A011500,«—≥Û»≠º∫,20210728,660145,-48476,-6929
22,A011500,«—≥Û»≠º∫,20210727,607890,3681,-7004
23,A011500,«—≥Û»≠º∫,20210726,671023,-55955,-7101
24,A011500,«—≥Û»≠º∫,20210723,668206,-54949,-7101
25,A011500,«—≥Û»≠º∫,20210722,605248,5327,-7103
26,A011500,«—≥Û»≠º∫,20210721,582442,28194,-7446
27,A011500,«—≥Û»≠º∫,20210720,630801,-20856,-7441
28,A011500,«—≥Û»≠º∫,20210719,661778,-50339,-7432
29,A011500,«—≥Û»≠º∫,20210716,650280,-38284,-7444
30,A011500,«—≥Û»≠º∫,20210715,648128,-33925,-8287
31,A011500,«—≥Û»≠º∫,20210714,603703,-1151,5252
32,A011500,«—≥Û»≠º∫,20210713,617372,-14091,-1233
33,A011500,«—≥Û»≠º∫,20210712,652297,-56668,8743
34,A011500,«—≥Û»≠º∫,20210709,649212,-54758,11452
35,A011500,«—≥Û»≠º∫,20210708,598263,-17273,26852
36,A011500,«—≥Û»≠º∫,20210707,578364,3238,28684
37,A011500,«—≥Û»≠º∫,20210706,572671,11232,26351
38,A011500,«—≥Û»≠º∫,20210705,600982,-16961,27848
39,A011500,«—≥Û»≠º∫,20210702,606576,-22273,26881
40,A011500,«—≥Û»≠º∫,20210701,585192,1355,24985
41,A011500,«—≥Û»≠º∫,20210630,626445,-46190,30449
42,A011500,«—≥Û»≠º∫,20210629,635782,-53154,28617
43,A011500,«—≥Û»≠º∫,20210628,635045,-48758,25030
44,A011500,«—≥Û»≠º∫,20210625,644615,-57970,23230
