,曽鯉坪球,曽鯉誤,劾促,鯵昔 授古呪,須厩昔 授古呪,奄淫 授古呪
0,A035720,朝朝神,20210827,12198990,-4334466,-5258729
1,A035720,朝朝神,20210826,12341509,-4291342,-5441263
2,A035720,朝朝神,20210825,12221883,-4171931,-5445125
3,A035720,朝朝神,20210824,12618991,-4505366,-5530210
4,A035720,朝朝神,20210823,12840100,-4710105,-5542098
5,A035720,朝朝神,20210820,13875240,-5581321,-5715788
6,A035720,朝朝神,20210819,13696305,-5390524,-5725576
7,A035720,朝朝神,20210818,14351348,-5948313,-5833191
8,A035720,朝朝神,20210817,14883192,-6235835,-6078751
9,A035720,朝朝神,20210813,14503107,-6021822,-5906709
10,A035720,朝朝神,20210812,14561333,-6217886,-5760546
11,A035720,朝朝神,20210811,15110097,-6231748,-6307330
12,A035720,朝朝神,20210810,14559849,-5669813,-6303947
13,A035720,朝朝神,20210809,14300256,-5434775,-6297567
14,A035720,朝朝神,20210806,14666934,-5710946,-6382457
15,A035720,朝朝神,20210805,13348115,-4713900,-6039736
16,A035720,朝朝神,20210804,13213604,-4634327,-5985404
17,A035720,朝朝神,20210803,13727368,-4861319,-6275449
18,A035720,朝朝神,20210802,13997090,-5214791,-6212044
19,A035720,朝朝神,20210730,13919559,-5054115,-6284892
20,A035720,朝朝神,20210729,13769016,-4978825,-6206157
21,A035720,朝朝神,20210728,14105236,-5263334,-6295278
22,A035720,朝朝神,20210727,14407885,-5380644,-6488096
23,A035720,朝朝神,20210726,14877246,-5819991,-6531872
24,A035720,朝朝神,20210723,14887063,-5983329,-6359148
25,A035720,朝朝神,20210722,15126992,-5988796,-6576526
26,A035720,朝朝神,20210721,15571685,-6352512,-6650419
27,A035720,朝朝神,20210720,13879871,-5440268,-5853951
28,A035720,朝朝神,20210719,14090024,-5664141,-5852959
29,A035720,朝朝神,20210716,13867300,-5634606,-5670844
30,A035720,朝朝神,20210715,13121782,-5305691,-5244023
31,A035720,朝朝神,20210714,12379091,-4777634,-5025246
32,A035720,朝朝神,20210713,12445783,-4889499,-5053345
33,A035720,朝朝神,20210712,12111342,-4412888,-5130008
34,A035720,朝朝神,20210709,12476060,-4636663,-5287397
35,A035720,朝朝神,20210708,12086704,-4392143,-5177297
36,A035720,朝朝神,20210707,12498819,-4526078,-5419447
37,A035720,朝朝神,20210706,13298987,-5215327,-5521470
38,A035720,朝朝神,20210705,13299999,-5268887,-5474726
39,A035720,朝朝神,20210702,12880580,-5085949,-5217308
40,A035720,朝朝神,20210701,12903775,-5117467,-5231236
41,A035720,朝朝神,20210630,12082255,-4565922,-4948812
42,A035720,朝朝神,20210629,11785291,-4059328,-5130118
43,A035720,朝朝神,20210628,11695955,-4122446,-5025326
44,A035720,朝朝神,20210625,11046882,-3576742,-4849298
45,A035720,朝朝神,20210624,10464768,-3002254,-4819169
46,A035720,朝朝神,20210623,7720866,-1185159,-3886260
47,A035720,朝朝神,20210622,7468606,-1113204,-3706867
48,A035720,朝朝神,20210621,7468627,-1228746,-3626672
49,A035720,朝朝神,20210618,5783957,82788,-3201498
50,A035720,朝朝神,20210617,4903912,797580,-3041471
51,A035720,朝朝神,20210616,4822428,712554,-2908926
52,A035720,朝朝神,20210615,3620642,1844507,-2863538
53,A035720,朝朝神,20210614,3302135,2166559,-2883031
54,A035720,朝朝神,20210611,3123603,2214814,-2758912
55,A035720,朝朝神,20210610,3195934,2196830,-2739764
56,A035720,朝朝神,20210609,3757032,1418980,-2551619
57,A035720,朝朝神,20210608,4011162,1147618,-2607466
58,A035720,朝朝神,20210607,4426821,921795,-2776025
59,A035720,朝朝神,20210604,4741345,829344,-2949968
60,A035720,朝朝神,20210603,4211857,1223441,-2731242
61,A035720,朝朝神,20210602,4115969,1290132,-2701779
62,A035720,朝朝神,20210601,3906459,1396796,-2625625
63,A035720,朝朝神,20210531,4862843,544987,-2777156
64,A035720,朝朝神,20210528,5215058,30566,-2615497
65,A035720,朝朝神,20210527,4586693,889386,-2798807
66,A035720,朝朝神,20210526,6712374,-700523,-3374829
67,A035720,朝朝神,20210525,7323819,-1199723,-3481338
68,A035720,朝朝神,20210524,7756208,-1417738,-3709213
69,A035720,朝朝神,20210521,7573787,-1214132,-3721892
70,A035720,朝朝神,20210520,8574692,-1859725,-4079822
71,A035720,朝朝神,20210518,8669589,-1975526,-4069402
72,A035720,朝朝神,20210517,8790508,-1878533,-4291101
73,A035720,朝朝神,20210514,8949280,-2029745,-4295657
74,A035720,朝朝神,20210513,8370358,-1621899,-4104707
75,A035720,朝朝神,20210512,6890973,-569511,-3673297
76,A035720,朝朝神,20210511,6252081,-174292,-3421436
77,A035720,朝朝神,20210510,5744783,-106078,-2986166
78,A035720,朝朝神,20210507,6035247,-228511,-3134510
79,A035720,朝朝神,20210506,5475470,216225,-3015578
80,A035720,朝朝神,20210504,4390012,1026269,-2736306
81,A035720,朝朝神,20210503,4431591,1180669,-2946613
82,A035720,朝朝神,20210430,4332728,1253685,-2930868
83,A035720,朝朝神,20210429,3269577,1781735,-2376369
84,A035720,朝朝神,20210428,2646281,2192262,-2205353
