,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
94,A217190,Á¦³Ê¼À,20210414,41784,-33722,-991
95,A217190,Á¦³Ê¼À,20210413,35035,-26986,-991
96,A217190,Á¦³Ê¼À,20210412,42870,-35817,0
97,A217190,Á¦³Ê¼À,20210409,43313,-36265,0
98,A217190,Á¦³Ê¼À,20210408,39158,-32110,0
99,A217190,Á¦³Ê¼À,20210407,26786,-19738,0
100,A217190,Á¦³Ê¼À,20210406,27651,-20603,0
101,A217190,Á¦³Ê¼À,20210405,36873,-29851,0
102,A217190,Á¦³Ê¼À,20210402,48558,-41536,0
103,A217190,Á¦³Ê¼À,20210401,44366,-37356,0
104,A217190,Á¦³Ê¼À,20210331,38308,-31273,0
105,A217190,Á¦³Ê¼À,20210330,34959,-27980,0
106,A217190,Á¦³Ê¼À,20210329,18335,-11338,0
107,A217190,Á¦³Ê¼À,20210326,38108,-31059,0
108,A217190,Á¦³Ê¼À,20210325,38135,-30776,0
109,A217190,Á¦³Ê¼À,20210324,28753,-21384,0
110,A217190,Á¦³Ê¼À,20210323,33941,-26552,0
111,A217190,Á¦³Ê¼À,20210322,29487,-22103,0
112,A217190,Á¦³Ê¼À,20210319,25271,-17877,0
113,A217190,Á¦³Ê¼À,20210318,28767,-21313,0
114,A217190,Á¦³Ê¼À,20210317,20522,-18953,0
115,A217190,Á¦³Ê¼À,20210316,17170,-15571,0
116,A217190,Á¦³Ê¼À,20210315,11041,-9442,0
117,A217190,Á¦³Ê¼À,20210312,-1119,-2002,0
118,A217190,Á¦³Ê¼À,20210311,4760,-4841,0
