,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฐณภฮ ผ๘ธลผ๖,ฟÜฑนภฮ ผ๘ธลผ๖,ฑโฐü ผ๘ธลผ๖
0,A147970,TIGER ธ๐ธเลา,20210827,-5743,0,5596
1,A147970,TIGER ธ๐ธเลา,20210826,-5569,0,5422
2,A147970,TIGER ธ๐ธเลา,20210825,-5569,0,5422
3,A147970,TIGER ธ๐ธเลา,20210824,-5559,0,5412
4,A147970,TIGER ธ๐ธเลา,20210823,-5694,0,5547
5,A147970,TIGER ธ๐ธเลา,20210820,-5501,0,5354
6,A147970,TIGER ธ๐ธเลา,20210819,-5678,0,5531
7,A147970,TIGER ธ๐ธเลา,20210818,-5671,0,5524
8,A147970,TIGER ธ๐ธเลา,20210817,-5662,0,5515
9,A147970,TIGER ธ๐ธเลา,20210813,-5476,0,5329
10,A147970,TIGER ธ๐ธเลา,20210812,-5394,0,5247
11,A147970,TIGER ธ๐ธเลา,20210811,-5208,0,5061
12,A147970,TIGER ธ๐ธเลา,20210810,-5223,0,5076
13,A147970,TIGER ธ๐ธเลา,20210809,-5213,0,5066
14,A147970,TIGER ธ๐ธเลา,20210806,-5203,0,5056
15,A147970,TIGER ธ๐ธเลา,20210805,-5340,0,5193
16,A147970,TIGER ธ๐ธเลา,20210804,-5326,0,5179
17,A147970,TIGER ธ๐ธเลา,20210803,-5494,0,5347
18,A147970,TIGER ธ๐ธเลา,20210802,-1462,0,1315
19,A147970,TIGER ธ๐ธเลา,20210730,-1178,0,1031
20,A147970,TIGER ธ๐ธเลา,20210729,-938,0,791
21,A147970,TIGER ธ๐ธเลา,20210728,-873,0,726
22,A147970,TIGER ธ๐ธเลา,20210727,79,0,-226
23,A147970,TIGER ธ๐ธเลา,20210726,74,0,-214
24,A147970,TIGER ธ๐ธเลา,20210723,356,0,-496
25,A147970,TIGER ธ๐ธเลา,20210722,324,0,-464
26,A147970,TIGER ธ๐ธเลา,20210721,336,0,-476
27,A147970,TIGER ธ๐ธเลา,20210720,387,0,-527
28,A147970,TIGER ธ๐ธเลา,20210719,976,0,-1116
29,A147970,TIGER ธ๐ธเลา,20210716,981,0,-1121
30,A147970,TIGER ธ๐ธเลา,20210715,1045,0,-1185
31,A147970,TIGER ธ๐ธเลา,20210714,1418,0,-1558
32,A147970,TIGER ธ๐ธเลา,20210713,1459,0,-1599
33,A147970,TIGER ธ๐ธเลา,20210712,1376,0,-1516
34,A147970,TIGER ธ๐ธเลา,20210709,1344,0,-1484
35,A147970,TIGER ธ๐ธเลา,20210708,1248,0,-1388
36,A147970,TIGER ธ๐ธเลา,20210707,1423,0,-1563
37,A147970,TIGER ธ๐ธเลา,20210706,1422,0,-1562
38,A147970,TIGER ธ๐ธเลา,20210705,1965,0,-2062
39,A147970,TIGER ธ๐ธเลา,20210702,2138,0,-2235
40,A147970,TIGER ธ๐ธเลา,20210701,2165,0,-2262
41,A147970,TIGER ธ๐ธเลา,20210630,2348,0,-2445
42,A147970,TIGER ธ๐ธเลา,20210629,2224,0,-2321
43,A147970,TIGER ธ๐ธเลา,20210628,2216,0,-2313
44,A147970,TIGER ธ๐ธเลา,20210625,2620,0,-2706
45,A147970,TIGER ธ๐ธเลา,20210624,2578,0,-2654
46,A147970,TIGER ธ๐ธเลา,20210623,2066,0,-2142
47,A147970,TIGER ธ๐ธเลา,20210622,1634,0,-1710
48,A147970,TIGER ธ๐ธเลา,20210621,1884,0,-1960
49,A147970,TIGER ธ๐ธเลา,20210618,1850,0,-1926
50,A147970,TIGER ธ๐ธเลา,20210617,1824,0,-1900
51,A147970,TIGER ธ๐ธเลา,20210616,1834,0,-1910
52,A147970,TIGER ธ๐ธเลา,20210615,1809,0,-1885
53,A147970,TIGER ธ๐ธเลา,20210614,2726,0,-2802
54,A147970,TIGER ธ๐ธเลา,20210611,2691,0,-2767
55,A147970,TIGER ธ๐ธเลา,20210610,2667,0,-2743
56,A147970,TIGER ธ๐ธเลา,20210609,2667,0,-2743
57,A147970,TIGER ธ๐ธเลา,20210608,2518,0,-3192
58,A147970,TIGER ธ๐ธเลา,20210607,2518,0,-3192
59,A147970,TIGER ธ๐ธเลา,20210604,1549,0,-2223
60,A147970,TIGER ธ๐ธเลา,20210603,1507,0,-2105
61,A147970,TIGER ธ๐ธเลา,20210602,1493,0,-2091
62,A147970,TIGER ธ๐ธเลา,20210601,1290,296,-2184
63,A147970,TIGER ธ๐ธเลา,20210531,2106,296,-3000
64,A147970,TIGER ธ๐ธเลา,20210528,1520,296,-1816
65,A147970,TIGER ธ๐ธเลา,20210527,1104,296,-1400
66,A147970,TIGER ธ๐ธเลา,20210526,1118,296,-1414
67,A147970,TIGER ธ๐ธเลา,20210525,1160,296,-1456
68,A147970,TIGER ธ๐ธเลา,20210524,1114,296,-1410
69,A147970,TIGER ธ๐ธเลา,20210521,1387,296,-1683
70,A147970,TIGER ธ๐ธเลา,20210520,935,296,-1231
71,A147970,TIGER ธ๐ธเลา,20210518,864,296,-1162
72,A147970,TIGER ธ๐ธเลา,20210517,931,296,-1229
73,A147970,TIGER ธ๐ธเลา,20210514,1279,296,-1577
74,A147970,TIGER ธ๐ธเลา,20210513,1255,296,-1553
75,A147970,TIGER ธ๐ธเลา,20210512,571,296,-869
76,A147970,TIGER ธ๐ธเลา,20210511,391,296,-689
77,A147970,TIGER ธ๐ธเลา,20210510,260,296,-558
78,A147970,TIGER ธ๐ธเลา,20210507,-231,296,-67
79,A147970,TIGER ธ๐ธเลา,20210506,-189,0,189
80,A147970,TIGER ธ๐ธเลา,20210504,-155,0,155
81,A147970,TIGER ธ๐ธเลา,20210503,-209,0,209
82,A147970,TIGER ธ๐ธเลา,20210430,-155,0,155
83,A147970,TIGER ธ๐ธเลา,20210429,-293,0,293
84,A147970,TIGER ธ๐ธเลา,20210428,-332,0,332
85,A147970,TIGER ธ๐ธเลา,20210427,-190,0,190
86,A147970,TIGER ธ๐ธเลา,20210426,-259,0,259
87,A147970,TIGER ธ๐ธเลา,20210423,-466,0,466
88,A147970,TIGER ธ๐ธเลา,20210422,-388,0,388
89,A147970,TIGER ธ๐ธเลา,20210421,-328,0,328
90,A147970,TIGER ธ๐ธเลา,20210420,-353,0,353
91,A147970,TIGER ธ๐ธเลา,20210419,-317,0,317
92,A147970,TIGER ธ๐ธเลา,20210416,-320,0,320
93,A147970,TIGER ธ๐ธเลา,20210415,-282,0,282
94,A147970,TIGER ธ๐ธเลา,20210414,-99,0,99
95,A147970,TIGER ธ๐ธเลา,20210413,-88,0,88
96,A147970,TIGER ธ๐ธเลา,20210412,-88,0,88
97,A147970,TIGER ธ๐ธเลา,20210409,-79,0,79
98,A147970,TIGER ธ๐ธเลา,20210408,-111,0,111
99,A147970,TIGER ธ๐ธเลา,20210407,-140,0,140
100,A147970,TIGER ธ๐ธเลา,20210406,-140,0,140
101,A147970,TIGER ธ๐ธเลา,20210405,-198,0,198
102,A147970,TIGER ธ๐ธเลา,20210402,-184,0,184
103,A147970,TIGER ธ๐ธเลา,20210401,-156,0,156
104,A147970,TIGER ธ๐ธเลา,20210331,-154,0,154
105,A147970,TIGER ธ๐ธเลา,20210330,-148,0,148
106,A147970,TIGER ธ๐ธเลา,20210329,-112,0,112
107,A147970,TIGER ธ๐ธเลา,20210326,-107,0,107
108,A147970,TIGER ธ๐ธเลา,20210325,-61,0,61
109,A147970,TIGER ธ๐ธเลา,20210324,-61,0,61
110,A147970,TIGER ธ๐ธเลา,20210323,-61,0,61
111,A147970,TIGER ธ๐ธเลา,20210322,-54,0,54
112,A147970,TIGER ธ๐ธเลา,20210319,-75,0,75
113,A147970,TIGER ธ๐ธเลา,20210318,-76,0,76
114,A147970,TIGER ธ๐ธเลา,20210317,-76,0,76
115,A147970,TIGER ธ๐ธเลา,20210316,17,0,-17
116,A147970,TIGER ธ๐ธเลา,20210315,5,0,-5
117,A147970,TIGER ธ๐ธเลา,20210312,193,0,-193
118,A147970,TIGER ธ๐ธเลา,20210311,198,0,-198
