,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฐณภฮ ผ๘ธลผ๖,ฟÜฑนภฮ ผ๘ธลผ๖,ฑโฐü ผ๘ธลผ๖
0,A180640,วัม๘ฤฎ,20210827,-1575720,-382850,2001091
1,A180640,วัม๘ฤฎ,20210826,-1556020,-380550,1978977
2,A180640,วัม๘ฤฎ,20210825,-1559334,-379874,1981735
3,A180640,วัม๘ฤฎ,20210824,-1532103,-415473,1990388
4,A180640,วัม๘ฤฎ,20210823,-1506956,-453173,2001897
5,A180640,วัม๘ฤฎ,20210820,-1472152,-474698,1988363
6,A180640,วัม๘ฤฎ,20210819,-1465257,-476296,1982832
7,A180640,วัม๘ฤฎ,20210818,-1485303,-437732,1963556
8,A180640,วัม๘ฤฎ,20210817,-1471201,-437074,1947665
9,A180640,วัม๘ฤฎ,20210813,-1451347,-422301,1913346
10,A180640,วัม๘ฤฎ,20210812,-1454261,-404283,1898576
11,A180640,วัม๘ฤฎ,20210811,-1455010,-399280,1896569
12,A180640,วัม๘ฤฎ,20210810,-1451995,-395363,1889508
13,A180640,วัม๘ฤฎ,20210809,-1432779,-396743,1872230
14,A180640,วัม๘ฤฎ,20210806,-1440798,-385627,1869191
15,A180640,วัม๘ฤฎ,20210805,-1426248,-383373,1852327
16,A180640,วัม๘ฤฎ,20210804,-1424435,-364766,1831854
17,A180640,วัม๘ฤฎ,20210803,-1399542,-363031,1805329
18,A180640,วัม๘ฤฎ,20210802,-1414806,-327449,1785002
19,A180640,วัม๘ฤฎ,20210730,-1394494,-317538,1753598
20,A180640,วัม๘ฤฎ,20210729,-1412631,-291546,1746986
21,A180640,วัม๘ฤฎ,20210728,-1404922,-288208,1734278
22,A180640,วัม๘ฤฎ,20210727,-1398747,-275713,1712999
23,A180640,วัม๘ฤฎ,20210726,-1381736,-283887,1706316
24,A180640,วัม๘ฤฎ,20210723,-1394594,-262429,1697313
25,A180640,วัม๘ฤฎ,20210722,-1374621,-250553,1666532
26,A180640,วัม๘ฤฎ,20210721,-1341296,-257470,1639687
27,A180640,วัม๘ฤฎ,20210720,-1337691,-257413,1636035
28,A180640,วัม๘ฤฎ,20210719,-1343612,-244727,1627897
29,A180640,วัม๘ฤฎ,20210716,-1355520,-227008,1621993
30,A180640,วัม๘ฤฎ,20210715,-1347852,-231235,1618916
31,A180640,วัม๘ฤฎ,20210714,-1348164,-222674,1610577
32,A180640,วัม๘ฤฎ,20210713,-1361399,-207892,1609194
33,A180640,วัม๘ฤฎ,20210712,-1362278,-189417,1592090
34,A180640,วัม๘ฤฎ,20210709,-1307424,-216674,1564815
35,A180640,วัม๘ฤฎ,20210708,-1362569,-185386,1589518
36,A180640,วัม๘ฤฎ,20210707,-1392291,-153471,1587663
37,A180640,วัม๘ฤฎ,20210706,-1412068,-142941,1597010
38,A180640,วัม๘ฤฎ,20210705,-1422198,-113798,1577476
39,A180640,วัม๘ฤฎ,20210702,-1394400,-123549,1560003
40,A180640,วัม๘ฤฎ,20210701,-1400735,-119116,1561907
41,A180640,วัม๘ฤฎ,20210630,-1436289,-88138,1567200
42,A180640,วัม๘ฤฎ,20210629,-1443161,-78457,1563982
43,A180640,วัม๘ฤฎ,20210628,-1440479,-74858,1558027
44,A180640,วัม๘ฤฎ,20210625,-1485259,-33178,1561163
45,A180640,วัม๘ฤฎ,20210624,-1466214,-24157,1533584
46,A180640,วัม๘ฤฎ,20210623,-1475586,-22940,1541648
47,A180640,วัม๘ฤฎ,20210622,-1474640,-24080,1539214
48,A180640,วัม๘ฤฎ,20210621,-1493732,10957,1524048
49,A180640,วัม๘ฤฎ,20210618,-1494862,-18046,1554770
50,A180640,วัม๘ฤฎ,20210617,-1549882,45912,1547797
51,A180640,วัม๘ฤฎ,20210616,-1564576,49105,1559605
52,A180640,วัม๘ฤฎ,20210615,-1597542,74383,1563340
53,A180640,วัม๘ฤฎ,20210614,-1598800,61307,1577900
54,A180640,วัม๘ฤฎ,20210611,-1684668,85844,1637827
55,A180640,วัม๘ฤฎ,20210610,-1690745,99176,1630944
56,A180640,วัม๘ฤฎ,20210609,-1518056,299363,1256842
57,A180640,วัม๘ฤฎ,20210608,-1419461,250709,1208340
58,A180640,วัม๘ฤฎ,20210607,-1369841,240125,1168650
59,A180640,วัม๘ฤฎ,20210604,-1338562,240120,1136913
60,A180640,วัม๘ฤฎ,20210603,-1271898,203678,1107047
61,A180640,วัม๘ฤฎ,20210602,-1207907,202443,1046708
62,A180640,วัม๘ฤฎ,20210601,-950186,50278,934403
63,A180640,วัม๘ฤฎ,20210531,-943826,47042,930946
64,A180640,วัม๘ฤฎ,20210528,-941078,47097,928832
65,A180640,วัม๘ฤฎ,20210527,-960041,70530,924028
66,A180640,วัม๘ฤฎ,20210526,-861738,63346,833004
67,A180640,วัม๘ฤฎ,20210525,-829115,87476,775319
68,A180640,วัม๘ฤฎ,20210524,-638940,18508,658109
69,A180640,วัม๘ฤฎ,20210521,-613870,6393,645605
70,A180640,วัม๘ฤฎ,20210520,-615055,28045,625460
71,A180640,วัม๘ฤฎ,20210518,-597381,33966,601564
72,A180640,วัม๘ฤฎ,20210517,-547949,41890,539211
73,A180640,วัม๘ฤฎ,20210514,-327974,-10547,364493
74,A180640,วัม๘ฤฎ,20210513,-302707,-17513,347388
75,A180640,วัม๘ฤฎ,20210512,-285264,-6148,321794
76,A180640,วัม๘ฤฎ,20210511,-197939,-52453,279320
