,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,╟Ёюн ╪Ь╦е╪Ж,©э╠╧юн ╪Ь╦е╪Ж,╠Б╟Э ╪Ь╦е╪Ж
0,A011330,ю╞╢одм,20210827,-793359,573877,-90489
1,A011330,ю╞╢одм,20210826,-740296,520821,-90496
2,A011330,ю╞╢одм,20210825,-754253,534788,-90506
3,A011330,ю╞╢одм,20210824,-760023,540548,-90566
4,A011330,ю╞╢одм,20210823,-642105,422720,-90654
5,A011330,ю╞╢одм,20210820,-660588,403213,-52264
6,A011330,ю╞╢одм,20210819,-606371,349183,-52296
7,A011330,ю╞╢одм,20210818,-761193,502607,-50859
8,A011330,ю╞╢одм,20210817,-726191,467942,-51146
9,A011330,ю╞╢одм,20210813,-775261,517127,-51170
10,A011330,ю╞╢одм,20210812,-803881,545767,-51190
11,A011330,ю╞╢одм,20210811,-805483,550330,-54151
12,A011330,ю╞╢одм,20210810,-848844,593574,-54074
13,A011330,ю╞╢одм,20210809,-907639,652372,-53637
14,A011330,ю╞╢одм,20210806,-928341,672892,-53455
15,A011330,ю╞╢одм,20210805,-958868,703187,-53123
16,A011330,ю╞╢одм,20210804,-953299,703845,-53089
17,A011330,ю╞╢одм,20210803,-1015086,660734,-52980
18,A011330,ю╞╢одм,20210802,-954923,713670,-59079
19,A011330,ю╞╢одм,20210730,-985806,750467,-64989
20,A011330,ю╞╢одм,20210729,-1041782,808875,-64984
21,A011330,ю╞╢одм,20210728,-1067249,834353,-64995
22,A011330,ю╞╢одм,20210727,-1101037,868482,-65331
23,A011330,ю╞╢одм,20210726,-1099140,866953,-65749
24,A011330,ю╞╢одм,20210723,-1088703,856515,-65745
25,A011330,ю╞╢одм,20210722,-1107777,875638,-65744
26,A011330,ю╞╢одм,20210721,-1119070,886914,-65727
27,A011330,ю╞╢одм,20210720,-1104595,872206,-65699
28,A011330,ю╞╢одм,20210719,-1116290,883849,-65647
29,A011330,ю╞╢одм,20210716,-1183962,951823,-65620
30,A011330,ю╞╢одм,20210715,-1200002,967929,-65586
31,A011330,ю╞╢одм,20210714,-1225461,993764,-65562
32,A011330,ю╞╢одм,20210713,-1261682,1030357,-65533
33,A011330,ю╞╢одм,20210712,-1273278,1041991,-65571
34,A011330,ю╞╢одм,20210709,-1292258,1061074,-65394
35,A011330,ю╞╢одм,20210708,-1316267,1084453,-64965
36,A011330,ю╞╢одм,20210707,-1360848,1129228,-64958
37,A011330,ю╞╢одм,20210706,-1393593,1162015,-64950
38,A011330,ю╞╢одм,20210705,-1422886,1191274,-64916
39,A011330,ю╞╢одм,20210702,-1452190,1221035,-64870
40,A011330,ю╞╢одм,20210701,-1531413,1301268,-64808
41,A011330,ю╞╢одм,20210630,-1560693,1330602,-64662
42,A011330,ю╞╢одм,20210629,-1604732,1375418,-65289
43,A011330,ю╞╢одм,20210628,-1632496,1396472,-65229
44,A011330,ю╞╢одм,20210625,-1654416,1418397,-65134
45,A011330,ю╞╢одм,20210624,-1682400,1446092,-64744
46,A011330,ю╞╢одм,20210623,-1707744,1471216,-64730
47,A011330,ю╞╢одм,20210622,-1772618,1535200,-63640
48,A011330,ю╞╢одм,20210621,-1788921,1551987,-63624
49,A011330,ю╞╢одм,20210618,-1736524,1499097,-63559
50,A011330,ю╞╢одм,20210617,-1762546,1525059,-63509
51,A011330,ю╞╢одм,20210616,-1707240,1469543,-63316
52,A011330,ю╞╢одм,20210615,-1525736,1303351,-62468
53,A011330,ю╞╢одм,20210614,-1553233,1327648,-62512
54,A011330,ю╞╢одм,20210611,-1583470,1357587,-62224
55,A011330,ю╞╢одм,20210610,-1599921,1373545,-62072
56,A011330,ю╞╢одм,20210609,-1609006,1382661,-62282
57,A011330,ю╞╢одм,20210608,-1600065,1374394,-63308
58,A011330,ю╞╢одм,20210607,-1573735,1347959,-63304
59,A011330,ю╞╢одм,20210604,-1529151,1355041,-63294
60,A011330,ю╞╢одм,20210603,-1612151,1447967,-63251
61,A011330,ю╞╢одм,20210602,-1548125,1463804,-63224
62,A011330,ю╞╢одм,20210601,-1555578,1459637,-63146
63,A011330,ю╞╢одм,20210531,-1569002,1474851,-65275
64,A011330,ю╞╢одм,20210528,-1573259,1482563,-68332
65,A011330,ю╞╢одм,20210527,-1600317,1509681,-68291
66,A011330,ю╞╢одм,20210526,-1628812,1541429,-71354
67,A011330,ю╞╢одм,20210525,-1682582,1595357,-71512
68,A011330,ю╞╢одм,20210524,-1718097,1630833,-71473
69,A011330,ю╞╢одм,20210521,-1742996,1652852,-71453
70,A011330,ю╞╢одм,20210520,-1783391,1691497,-71701
71,A011330,ю╞╢одм,20210518,-1795441,1699987,-71820
72,A011330,ю╞╢одм,20210517,-1760260,1664842,-71810
73,A011330,ю╞╢одм,20210514,-1833364,1704524,-38252
74,A011330,ю╞╢одм,20210513,-1869752,1741082,-38372
75,A011330,ю╞╢одм,20210512,-1750401,1621762,-38443
76,A011330,ю╞╢одм,20210511,-1747148,1617428,-38514
77,A011330,ю╞╢одм,20210510,-1778255,1647529,-38115
78,A011330,ю╞╢одм,20210507,-1758172,1623821,-38223
79,A011330,ю╞╢одм,20210506,-1777543,1640752,-38463
80,A011330,ю╞╢одм,20210504,-1601079,1469445,-69543
81,A011330,ю╞╢одм,20210503,-1542289,1411104,-69771
82,A011330,ю╞╢одм,20210430,-1501213,1371748,-69930
