,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฐณภฮ ผ๘ธลผ๖,ฟÜฑนภฮ ผ๘ธลผ๖,ฑโฐü ผ๘ธลผ๖
0,A275280,KODEX MSCIธ๐ธเลา,20210827,-1795,0,1795
1,A275280,KODEX MSCIธ๐ธเลา,20210826,-1795,0,1795
2,A275280,KODEX MSCIธ๐ธเลา,20210825,-1795,0,1795
3,A275280,KODEX MSCIธ๐ธเลา,20210824,-1786,0,1786
4,A275280,KODEX MSCIธ๐ธเลา,20210823,-1785,0,1785
5,A275280,KODEX MSCIธ๐ธเลา,20210820,-1778,0,1778
6,A275280,KODEX MSCIธ๐ธเลา,20210819,-1728,0,1728
7,A275280,KODEX MSCIธ๐ธเลา,20210818,-1724,0,1724
8,A275280,KODEX MSCIธ๐ธเลา,20210817,-1715,0,1715
9,A275280,KODEX MSCIธ๐ธเลา,20210813,-1726,0,1726
10,A275280,KODEX MSCIธ๐ธเลา,20210812,-1726,0,1726
11,A275280,KODEX MSCIธ๐ธเลา,20210811,-1721,0,1721
12,A275280,KODEX MSCIธ๐ธเลา,20210810,-1721,0,1721
13,A275280,KODEX MSCIธ๐ธเลา,20210809,-1703,0,1703
14,A275280,KODEX MSCIธ๐ธเลา,20210806,-1697,0,1697
15,A275280,KODEX MSCIธ๐ธเลา,20210805,-1713,0,1713
16,A275280,KODEX MSCIธ๐ธเลา,20210804,-1733,0,1733
17,A275280,KODEX MSCIธ๐ธเลา,20210803,-1734,0,1734
18,A275280,KODEX MSCIธ๐ธเลา,20210802,-1656,0,1656
19,A275280,KODEX MSCIธ๐ธเลา,20210730,-1656,0,1656
20,A275280,KODEX MSCIธ๐ธเลา,20210729,-1657,0,1657
21,A275280,KODEX MSCIธ๐ธเลา,20210728,-1666,0,1666
22,A275280,KODEX MSCIธ๐ธเลา,20210727,-1670,0,1670
23,A275280,KODEX MSCIธ๐ธเลา,20210726,-1649,0,1649
24,A275280,KODEX MSCIธ๐ธเลา,20210723,-1650,0,1650
25,A275280,KODEX MSCIธ๐ธเลา,20210722,-1649,0,1649
26,A275280,KODEX MSCIธ๐ธเลา,20210721,-1647,0,1647
27,A275280,KODEX MSCIธ๐ธเลา,20210720,-1649,0,1649
28,A275280,KODEX MSCIธ๐ธเลา,20210719,-1650,0,1650
29,A275280,KODEX MSCIธ๐ธเลา,20210716,-1650,0,1650
30,A275280,KODEX MSCIธ๐ธเลา,20210715,-1650,0,1650
31,A275280,KODEX MSCIธ๐ธเลา,20210714,-1650,0,1650
32,A275280,KODEX MSCIธ๐ธเลา,20210713,-1660,0,1660
33,A275280,KODEX MSCIธ๐ธเลา,20210712,-1656,0,1656
34,A275280,KODEX MSCIธ๐ธเลา,20210709,-1662,0,1662
35,A275280,KODEX MSCIธ๐ธเลา,20210708,-1632,0,1632
36,A275280,KODEX MSCIธ๐ธเลา,20210707,-1630,0,1630
37,A275280,KODEX MSCIธ๐ธเลา,20210706,-1632,0,1632
38,A275280,KODEX MSCIธ๐ธเลา,20210705,-1617,0,1617
39,A275280,KODEX MSCIธ๐ธเลา,20210702,-1616,0,1616
40,A275280,KODEX MSCIธ๐ธเลา,20210701,-1619,0,1619
41,A275280,KODEX MSCIธ๐ธเลา,20210630,-1620,0,1620
42,A275280,KODEX MSCIธ๐ธเลา,20210629,-1648,0,1648
43,A275280,KODEX MSCIธ๐ธเลา,20210628,-1648,0,1648
44,A275280,KODEX MSCIธ๐ธเลา,20210625,-1718,0,1718
45,A275280,KODEX MSCIธ๐ธเลา,20210624,-1718,0,1718
46,A275280,KODEX MSCIธ๐ธเลา,20210623,-1631,0,1631
47,A275280,KODEX MSCIธ๐ธเลา,20210622,-1628,0,1628
48,A275280,KODEX MSCIธ๐ธเลา,20210621,-1626,0,1626
49,A275280,KODEX MSCIธ๐ธเลา,20210618,-1626,0,1626
50,A275280,KODEX MSCIธ๐ธเลา,20210617,-1624,0,1624
51,A275280,KODEX MSCIธ๐ธเลา,20210616,-1624,0,1624
52,A275280,KODEX MSCIธ๐ธเลา,20210615,-1622,0,1622
53,A275280,KODEX MSCIธ๐ธเลา,20210614,4,0,-4
54,A275280,KODEX MSCIธ๐ธเลา,20210611,2,0,-2
