,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ º¯∏≈ºˆ,ø‹±π¿Œ º¯∏≈ºˆ,±‚∞¸ º¯∏≈ºˆ
0,A217330,ΩŒ¿Ã≈‰¡®,20210827,-644481,50839,213905
1,A217330,ΩŒ¿Ã≈‰¡®,20210826,-636666,48626,208303
2,A217330,ΩŒ¿Ã≈‰¡®,20210825,-637312,49736,207938
3,A217330,ΩŒ¿Ã≈‰¡®,20210824,-636067,50959,205370
4,A217330,ΩŒ¿Ã≈‰¡®,20210823,-633116,51288,204731
5,A217330,ΩŒ¿Ã≈‰¡®,20210820,-632360,51667,203596
6,A217330,ΩŒ¿Ã≈‰¡®,20210819,-630708,53854,199696
7,A217330,ΩŒ¿Ã≈‰¡®,20210818,-630083,57530,197196
8,A217330,ΩŒ¿Ã≈‰¡®,20210817,-616741,59557,196676
9,A217330,ΩŒ¿Ã≈‰¡®,20210813,-609704,60792,194426
10,A217330,ΩŒ¿Ã≈‰¡®,20210812,-603481,55948,194026
11,A217330,ΩŒ¿Ã≈‰¡®,20210811,-578300,37606,192922
12,A217330,ΩŒ¿Ã≈‰¡®,20210810,-597876,33979,187625
13,A217330,ΩŒ¿Ã≈‰¡®,20210809,-595567,30860,182715
14,A217330,ΩŒ¿Ã≈‰¡®,20210806,-595114,30722,179711
15,A217330,ΩŒ¿Ã≈‰¡®,20210805,-590308,31314,178505
16,A217330,ΩŒ¿Ã≈‰¡®,20210804,-585924,28680,176720
17,A217330,ΩŒ¿Ã≈‰¡®,20210803,-583029,27281,175224
18,A217330,ΩŒ¿Ã≈‰¡®,20210802,-580512,26612,172624
19,A217330,ΩŒ¿Ã≈‰¡®,20210730,-568994,25329,173128
20,A217330,ΩŒ¿Ã≈‰¡®,20210729,-542459,27976,168946
21,A217330,ΩŒ¿Ã≈‰¡®,20210728,-519191,26032,167266
22,A217330,ΩŒ¿Ã≈‰¡®,20210727,-518332,26174,166265
23,A217330,ΩŒ¿Ã≈‰¡®,20210726,-515826,25304,164279
24,A217330,ΩŒ¿Ã≈‰¡®,20210723,-511135,24259,160453
25,A217330,ΩŒ¿Ã≈‰¡®,20210722,-504796,22070,156443
26,A217330,ΩŒ¿Ã≈‰¡®,20210721,-484189,17180,139305
27,A217330,ΩŒ¿Ã≈‰¡®,20210720,-469437,15602,128310
28,A217330,ΩŒ¿Ã≈‰¡®,20210719,-451621,7061,123316
29,A217330,ΩŒ¿Ã≈‰¡®,20210716,-446272,6668,118309
30,A217330,ΩŒ¿Ã≈‰¡®,20210715,-444202,6727,116180
31,A217330,ΩŒ¿Ã≈‰¡®,20210714,-438393,6717,110381
32,A217330,ΩŒ¿Ã≈‰¡®,20210713,-438595,6905,110395
33,A217330,ΩŒ¿Ã≈‰¡®,20210712,-438658,6974,110389
34,A217330,ΩŒ¿Ã≈‰¡®,20210709,-439029,7343,110391
35,A217330,ΩŒ¿Ã≈‰¡®,20210708,-434438,7657,110373
36,A217330,ΩŒ¿Ã≈‰¡®,20210707,-430583,6147,110370
37,A217330,ΩŒ¿Ã≈‰¡®,20210706,-425230,2070,110372
38,A217330,ΩŒ¿Ã≈‰¡®,20210705,-422718,1150,110380
39,A217330,ΩŒ¿Ã≈‰¡®,20210702,-406941,562,110398
40,A217330,ΩŒ¿Ã≈‰¡®,20210701,-406325,1669,110432
41,A217330,ΩŒ¿Ã≈‰¡®,20210630,-399298,-39,110432
42,A217330,ΩŒ¿Ã≈‰¡®,20210629,-415116,-315,110854
43,A217330,ΩŒ¿Ã≈‰¡®,20210628,-413776,-104,110850
44,A217330,ΩŒ¿Ã≈‰¡®,20210625,-395318,152,111740
45,A217330,ΩŒ¿Ã≈‰¡®,20210624,-384309,5096,112147
46,A217330,ΩŒ¿Ã≈‰¡®,20210623,-360978,7615,112139
47,A217330,ΩŒ¿Ã≈‰¡®,20210622,-340091,2770,112231
48,A217330,ΩŒ¿Ã≈‰¡®,20210621,-321483,-121,112234
49,A217330,ΩŒ¿Ã≈‰¡®,20210618,-325866,4664,112213
50,A217330,ΩŒ¿Ã≈‰¡®,20210617,-324491,5507,112204
51,A217330,ΩŒ¿Ã≈‰¡®,20210616,-322684,5337,112196
52,A217330,ΩŒ¿Ã≈‰¡®,20210615,-319021,9937,112195
53,A217330,ΩŒ¿Ã≈‰¡®,20210614,-311809,12300,112190
54,A217330,ΩŒ¿Ã≈‰¡®,20210611,-289704,20899,112186
55,A217330,ΩŒ¿Ã≈‰¡®,20210610,-287133,22674,112226
56,A217330,ΩŒ¿Ã≈‰¡®,20210609,-270180,18344,112722
57,A217330,ΩŒ¿Ã≈‰¡®,20210608,-268398,27296,114212
58,A217330,ΩŒ¿Ã≈‰¡®,20210607,-275273,28882,114260
59,A217330,ΩŒ¿Ã≈‰¡®,20210604,-272821,28478,115059
60,A217330,ΩŒ¿Ã≈‰¡®,20210603,-267351,29040,114257
61,A217330,ΩŒ¿Ã≈‰¡®,20210602,-263284,28897,114240
62,A217330,ΩŒ¿Ã≈‰¡®,20210601,-254814,33156,114243
63,A217330,ΩŒ¿Ã≈‰¡®,20210531,-254502,34218,114243
64,A217330,ΩŒ¿Ã≈‰¡®,20210528,-247118,35000,114243
65,A217330,ΩŒ¿Ã≈‰¡®,20210527,-239623,35399,114229
66,A217330,ΩŒ¿Ã≈‰¡®,20210526,-241947,37939,114225
67,A217330,ΩŒ¿Ã≈‰¡®,20210525,-236434,40479,66224
68,A217330,ΩŒ¿Ã≈‰¡®,20210524,-229768,33255,67224
69,A217330,ΩŒ¿Ã≈‰¡®,20210521,-256215,46069,80822
70,A217330,ΩŒ¿Ã≈‰¡®,20210520,-256090,46506,80841
71,A217330,ΩŒ¿Ã≈‰¡®,20210518,-262463,50695,85525
72,A217330,ΩŒ¿Ã≈‰¡®,20210517,-270458,50526,92622
73,A217330,ΩŒ¿Ã≈‰¡®,20210514,-269956,52586,98610
74,A217330,ΩŒ¿Ã≈‰¡®,20210513,-267806,56690,107836
75,A217330,ΩŒ¿Ã≈‰¡®,20210512,-268776,57190,112235
76,A217330,ΩŒ¿Ã≈‰¡®,20210511,-267439,56507,116363
77,A217330,ΩŒ¿Ã≈‰¡®,20210510,-268812,62689,121304
78,A217330,ΩŒ¿Ã≈‰¡®,20210507,-276810,64682,125009
79,A217330,ΩŒ¿Ã≈‰¡®,20210506,-226453,66561,75038
80,A217330,ΩŒ¿Ã≈‰¡®,20210504,-229481,68381,74979
81,A217330,ΩŒ¿Ã≈‰¡®,20210503,-226625,67669,74978
82,A217330,ΩŒ¿Ã≈‰¡®,20210430,-228339,75961,74998
83,A217330,ΩŒ¿Ã≈‰¡®,20210429,-226361,72517,75049
84,A217330,ΩŒ¿Ã≈‰¡®,20210428,-218475,79157,75443
85,A217330,ΩŒ¿Ã≈‰¡®,20210427,-214650,77847,77374
86,A217330,ΩŒ¿Ã≈‰¡®,20210426,-218275,83560,77577
87,A217330,ΩŒ¿Ã≈‰¡®,20210423,-218128,87034,77579
88,A217330,ΩŒ¿Ã≈‰¡®,20210422,-216021,89455,77440
89,A217330,ΩŒ¿Ã≈‰¡®,20210421,-215833,95261,15002
90,A217330,ΩŒ¿Ã≈‰¡®,20210420,-199216,99781,14803
91,A217330,ΩŒ¿Ã≈‰¡®,20210419,-168961,103150,15701
92,A217330,ΩŒ¿Ã≈‰¡®,20210416,-182955,126135,14595
93,A217330,ΩŒ¿Ã≈‰¡®,20210415,-179348,127525,15523
94,A217330,ΩŒ¿Ã≈‰¡®,20210414,-183867,139945,14181
95,A217330,ΩŒ¿Ã≈‰¡®,20210413,-186002,62078,13582
96,A217330,ΩŒ¿Ã≈‰¡®,20210412,-178797,54998,13622
97,A217330,ΩŒ¿Ã≈‰¡®,20210409,-135516,8994,14077
98,A217330,ΩŒ¿Ã≈‰¡®,20210408,-126443,8402,14788
99,A217330,ΩŒ¿Ã≈‰¡®,20210407,-127476,5532,16091
100,A217330,ΩŒ¿Ã≈‰¡®,20210406,-118502,3978,12092
101,A217330,ΩŒ¿Ã≈‰¡®,20210405,-106827,3815,4148
102,A217330,ΩŒ¿Ã≈‰¡®,20210402,-95371,2718,4900
103,A217330,ΩŒ¿Ã≈‰¡®,20210401,-84523,5069,3577
104,A217330,ΩŒ¿Ã≈‰¡®,20210331,-75378,2622,3579
105,A217330,ΩŒ¿Ã≈‰¡®,20210330,-68239,-309,3899
106,A217330,ΩŒ¿Ã≈‰¡®,20210329,-65845,-2695,3900
107,A217330,ΩŒ¿Ã≈‰¡®,20210326,-68842,1689,3104
108,A217330,ΩŒ¿Ã≈‰¡®,20210325,-55094,1807,3010
109,A217330,ΩŒ¿Ã≈‰¡®,20210324,-51681,1601,-1989
110,A217330,ΩŒ¿Ã≈‰¡®,20210323,-51754,2115,-1989
111,A217330,ΩŒ¿Ã≈‰¡®,20210322,-54892,6782,-1988
112,A217330,ΩŒ¿Ã≈‰¡®,20210319,-52552,7540,-1988
113,A217330,ΩŒ¿Ã≈‰¡®,20210318,-48762,8131,2981
114,A217330,ΩŒ¿Ã≈‰¡®,20210317,-47260,8438,2992
115,A217330,ΩŒ¿Ã≈‰¡®,20210316,-43553,5575,3018
116,A217330,ΩŒ¿Ã≈‰¡®,20210315,-64407,36254,2206
117,A217330,ΩŒ¿Ã≈‰¡®,20210312,-43101,5516,2205
118,A217330,ΩŒ¿Ã≈‰¡®,20210311,-21438,-822,1760
