,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ º¯∏≈ºˆ,ø‹±π¿Œ º¯∏≈ºˆ,±‚∞¸ º¯∏≈ºˆ
0,A239340,¡‹¿Œ≈Õ≥›,20210827,-252867,185883,-6303
1,A239340,¡‹¿Œ≈Õ≥›,20210826,-252471,185597,-6303
2,A239340,¡‹¿Œ≈Õ≥›,20210825,-265195,198337,-6303
3,A239340,¡‹¿Œ≈Õ≥›,20210824,-320692,251705,-6303
4,A239340,¡‹¿Œ≈Õ≥›,20210823,-323208,252798,-6303
5,A239340,¡‹¿Œ≈Õ≥›,20210820,-292904,225113,-6303
6,A239340,¡‹¿Œ≈Õ≥›,20210819,-166626,99742,-6303
7,A239340,¡‹¿Œ≈Õ≥›,20210818,-113973,48352,-6303
8,A239340,¡‹¿Œ≈Õ≥›,20210817,-63248,-2545,-4803
9,A239340,¡‹¿Œ≈Õ≥›,20210813,-84955,19214,-4803
10,A239340,¡‹¿Œ≈Õ≥›,20210812,-95404,30030,-4803
11,A239340,¡‹¿Œ≈Õ≥›,20210811,-91491,25907,-4803
12,A239340,¡‹¿Œ≈Õ≥›,20210810,-84873,20097,-4803
13,A239340,¡‹¿Œ≈Õ≥›,20210809,-107590,44831,-5052
14,A239340,¡‹¿Œ≈Õ≥›,20210806,-355685,294609,-5052
15,A239340,¡‹¿Œ≈Õ≥›,20210805,-134422,73477,-5052
16,A239340,¡‹¿Œ≈Õ≥›,20210804,-166784,82493,-4752
17,A239340,¡‹¿Œ≈Õ≥›,20210803,-45902,-26018,-4752
18,A239340,¡‹¿Œ≈Õ≥›,20210802,-60901,-10085,-5999
19,A239340,¡‹¿Œ≈Õ≥›,20210730,-19158,-55367,-5999
20,A239340,¡‹¿Œ≈Õ≥›,20210729,-33892,-34154,-5999
21,A239340,¡‹¿Œ≈Õ≥›,20210728,-45355,-26839,-2849
22,A239340,¡‹¿Œ≈Õ≥›,20210727,-217493,133342,-3805
23,A239340,¡‹¿Œ≈Õ≥›,20210726,-141869,57852,-3805
24,A239340,¡‹¿Œ≈Õ≥›,20210723,-103095,30534,-3805
25,A239340,¡‹¿Œ≈Õ≥›,20210722,-71800,934,-3805
26,A239340,¡‹¿Œ≈Õ≥›,20210721,-67780,-2389,-3805
27,A239340,¡‹¿Œ≈Õ≥›,20210720,-107791,-12147,46195
28,A239340,¡‹¿Œ≈Õ≥›,20210719,-225696,108244,46195
29,A239340,¡‹¿Œ≈Õ≥›,20210716,-200750,83525,46195
30,A239340,¡‹¿Œ≈Õ≥›,20210715,-156949,39589,46195
31,A239340,¡‹¿Œ≈Õ≥›,20210714,-103403,-16254,44901
32,A239340,¡‹¿Œ≈Õ≥›,20210713,-94609,-21775,44901
33,A239340,¡‹¿Œ≈Õ≥›,20210712,-128305,15489,44901
34,A239340,¡‹¿Œ≈Õ≥›,20210709,-38855,-53748,44901
35,A239340,¡‹¿Œ≈Õ≥›,20210708,-43226,-49545,44900
36,A239340,¡‹¿Œ≈Õ≥›,20210707,-80145,-13119,46129
37,A239340,¡‹¿Œ≈Õ≥›,20210706,-173922,64955,59628
38,A239340,¡‹¿Œ≈Õ≥›,20210705,-231236,122643,59628
39,A239340,¡‹¿Œ≈Õ≥›,20210702,-177068,75234,52263
40,A239340,¡‹¿Œ≈Õ≥›,20210701,-203826,111536,44900
41,A239340,¡‹¿Œ≈Õ≥›,20210630,-281729,192072,44900
42,A239340,¡‹¿Œ≈Õ≥›,20210629,-174350,81870,49320
43,A239340,¡‹¿Œ≈Õ≥›,20210628,-379644,298234,32679
44,A239340,¡‹¿Œ≈Õ≥›,20210625,-194114,143922,2667
45,A239340,¡‹¿Œ≈Õ≥›,20210624,-263364,209627,3275
46,A239340,¡‹¿Œ≈Õ≥›,20210623,-363129,167709,161171
47,A239340,¡‹¿Œ≈Õ≥›,20210622,-417461,221859,-3400
48,A239340,¡‹¿Œ≈Õ≥›,20210621,-473762,242377,36857
49,A239340,¡‹¿Œ≈Õ≥›,20210618,-357872,103225,95764
50,A239340,¡‹¿Œ≈Õ≥›,20210617,-152107,19723,-3400
51,A239340,¡‹¿Œ≈Õ≥›,20210616,-197240,68390,-3400
