,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ º¯∏≈ºˆ,ø‹±π¿Œ º¯∏≈ºˆ,±‚∞¸ º¯∏≈ºˆ
0,A000540,»Ô±π»≠¿Á,20210827,878452,-199621,-569761
1,A000540,»Ô±π»≠¿Á,20210826,845777,-166929,-569778
2,A000540,»Ô±π»≠¿Á,20210825,826362,-156856,-560436
3,A000540,»Ô±π»≠¿Á,20210824,829366,-149661,-570635
4,A000540,»Ô±π»≠¿Á,20210823,876207,-195633,-571504
5,A000540,»Ô±π»≠¿Á,20210820,877743,-196783,-571390
6,A000540,»Ô±π»≠¿Á,20210819,875688,-181429,-571559
7,A000540,»Ô±π»≠¿Á,20210818,881222,-167699,-570161
8,A000540,»Ô±π»≠¿Á,20210817,894694,-188139,-558061
9,A000540,»Ô±π»≠¿Á,20210813,906170,-201630,-556390
10,A000540,»Ô±π»≠¿Á,20210812,926705,-202230,-556582
11,A000540,»Ô±π»≠¿Á,20210811,931338,-206542,-556903
12,A000540,»Ô±π»≠¿Á,20210810,931903,-203752,-550521
13,A000540,»Ô±π»≠¿Á,20210809,937764,-197114,-549683
14,A000540,»Ô±π»≠¿Á,20210806,925637,-190069,-544515
15,A000540,»Ô±π»≠¿Á,20210805,924618,-187790,-536201
16,A000540,»Ô±π»≠¿Á,20210804,917405,-186435,-530393
17,A000540,»Ô±π»≠¿Á,20210803,917777,-187424,-529729
18,A000540,»Ô±π»≠¿Á,20210802,901962,-176750,-524588
19,A000540,»Ô±π»≠¿Á,20210730,917227,-178193,-536108
20,A000540,»Ô±π»≠¿Á,20210729,907851,-155750,-529648
21,A000540,»Ô±π»≠¿Á,20210728,908925,-159284,-525454
22,A000540,»Ô±π»≠¿Á,20210727,897140,-153176,-519749
23,A000540,»Ô±π»≠¿Á,20210726,914893,-155539,-520149
24,A000540,»Ô±π»≠¿Á,20210723,907499,-143799,-520157
25,A000540,»Ô±π»≠¿Á,20210722,907899,-144183,-520173
26,A000540,»Ô±π»≠¿Á,20210721,917577,-152296,-521738
27,A000540,»Ô±π»≠¿Á,20210720,886398,-120111,-521711
28,A000540,»Ô±π»≠¿Á,20210719,874067,-123380,-472771
29,A000540,»Ô±π»≠¿Á,20210716,868401,-117694,-472746
30,A000540,»Ô±π»≠¿Á,20210715,865514,-114996,-472512
31,A000540,»Ô±π»≠¿Á,20210714,864032,-109652,-476374
32,A000540,»Ô±π»≠¿Á,20210713,847377,-92699,-476351
33,A000540,»Ô±π»≠¿Á,20210712,851419,-96698,-476394
34,A000540,»Ô±π»≠¿Á,20210709,860692,-106104,-476239
35,A000540,»Ô±π»≠¿Á,20210708,870528,-104632,-475700
36,A000540,»Ô±π»≠¿Á,20210707,831545,-72435,-467283
37,A000540,»Ô±π»≠¿Á,20210706,768819,-12663,-464546
38,A000540,»Ô±π»≠¿Á,20210705,767931,-9692,-464538
39,A000540,»Ô±π»≠¿Á,20210702,696885,67991,-464526
40,A000540,»Ô±π»≠¿Á,20210701,712860,52150,-464620
41,A000540,»Ô±π»≠¿Á,20210630,666620,98546,-464431
42,A000540,»Ô±π»≠¿Á,20210629,772425,-13037,-478645
43,A000540,»Ô±π»≠¿Á,20210628,731686,39168,-489890
44,A000540,»Ô±π»≠¿Á,20210625,876639,-85358,-511645
45,A000540,»Ô±π»≠¿Á,20210624,911475,-117148,-515785
46,A000540,»Ô±π»≠¿Á,20210623,943330,-139333,-524102
47,A000540,»Ô±π»≠¿Á,20210622,832118,-37309,-531947
48,A000540,»Ô±π»≠¿Á,20210621,844768,-39771,-542181
49,A000540,»Ô±π»≠¿Á,20210618,822651,-17718,-542115
50,A000540,»Ô±π»≠¿Á,20210617,810566,-5436,-542102
51,A000540,»Ô±π»≠¿Á,20210616,753384,51564,-541898
52,A000540,»Ô±π»≠¿Á,20210615,788763,23584,-549403
53,A000540,»Ô±π»≠¿Á,20210614,785289,27136,-549281
54,A000540,»Ô±π»≠¿Á,20210611,773055,39091,-548817
55,A000540,»Ô±π»≠¿Á,20210610,773747,47892,-545840
56,A000540,»Ô±π»≠¿Á,20210609,785847,48250,-540783
57,A000540,»Ô±π»≠¿Á,20210608,724693,108657,-540685
58,A000540,»Ô±π»≠¿Á,20210607,763756,79837,-551523
59,A000540,»Ô±π»≠¿Á,20210604,776965,76805,-561928
60,A000540,»Ô±π»≠¿Á,20210603,814689,47755,-570064
61,A000540,»Ô±π»≠¿Á,20210602,788598,72900,-562090
62,A000540,»Ô±π»≠¿Á,20210601,803505,68847,-572731
63,A000540,»Ô±π»≠¿Á,20210531,829522,42176,-571710
64,A000540,»Ô±π»≠¿Á,20210528,826207,43532,-571754
65,A000540,»Ô±π»≠¿Á,20210527,826616,43359,-571840
66,A000540,»Ô±π»≠¿Á,20210526,830825,39308,-571830
67,A000540,»Ô±π»≠¿Á,20210525,841429,28834,-572052
68,A000540,»Ô±π»≠¿Á,20210524,878419,-4135,-572073
69,A000540,»Ô±π»≠¿Á,20210521,871760,-24287,-545462
70,A000540,»Ô±π»≠¿Á,20210520,833013,5022,-535324
71,A000540,»Ô±π»≠¿Á,20210518,876947,-7061,-567371
72,A000540,»Ô±π»≠¿Á,20210517,901384,-27517,-572833
73,A000540,»Ô±π»≠¿Á,20210514,838004,10658,-545929
74,A000540,»Ô±π»≠¿Á,20210513,848749,-393,-545712
75,A000540,»Ô±π»≠¿Á,20210512,857144,-3855,-545905
76,A000540,»Ô±π»≠¿Á,20210511,847675,25815,-562082
77,A000540,»Ô±π»≠¿Á,20210510,891850,-7097,-572414
78,A000540,»Ô±π»≠¿Á,20210507,912257,-27544,-572522
79,A000540,»Ô±π»≠¿Á,20210506,928833,-57564,-556875
80,A000540,»Ô±π»≠¿Á,20210504,908564,-44948,-551899
81,A000540,»Ô±π»≠¿Á,20210503,881859,-18545,-552115
82,A000540,»Ô±π»≠¿Á,20210430,919252,-66738,-541274
83,A000540,»Ô±π»≠¿Á,20210429,848251,4283,-541291
84,A000540,»Ô±π»≠¿Á,20210428,873705,-19056,-541465
85,A000540,»Ô±π»≠¿Á,20210427,895212,-34853,-546489
86,A000540,»Ô±π»≠¿Á,20210426,966444,-97833,-557109
87,A000540,»Ô±π»≠¿Á,20210423,921837,-54072,-555890
88,A000540,»Ô±π»≠¿Á,20210422,965199,-93196,-556829
89,A000540,»Ô±π»≠¿Á,20210421,937820,-55481,-575541
90,A000540,»Ô±π»≠¿Á,20210420,862696,-58101,-575605
91,A000540,»Ô±π»≠¿Á,20210419,70308,-45175,-27006
92,A000540,»Ô±π»≠¿Á,20210416,93515,-59998,-34040
93,A000540,»Ô±π»≠¿Á,20210415,73373,-48010,-20986
94,A000540,»Ô±π»≠¿Á,20210414,67726,-39993,-23366
