,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ º¯∏≈ºˆ,ø‹±π¿Œ º¯∏≈ºˆ,±‚∞¸ º¯∏≈ºˆ
0,A235980,∏ﬁµÂ∆—≈‰,20210827,699322,-287040,-196643
1,A235980,∏ﬁµÂ∆—≈‰,20210826,704985,-306414,-183401
2,A235980,∏ﬁµÂ∆—≈‰,20210825,686891,-301760,-169932
3,A235980,∏ﬁµÂ∆—≈‰,20210824,723667,-322656,-181301
4,A235980,∏ﬁµÂ∆—≈‰,20210823,805102,-400941,-186034
5,A235980,∏ﬁµÂ∆—≈‰,20210820,862557,-468363,-174994
6,A235980,∏ﬁµÂ∆—≈‰,20210819,842579,-475678,-146582
7,A235980,∏ﬁµÂ∆—≈‰,20210818,834080,-472844,-140281
8,A235980,∏ﬁµÂ∆—≈‰,20210817,843205,-471475,-148652
9,A235980,∏ﬁµÂ∆—≈‰,20210813,828275,-470403,-144529
10,A235980,∏ﬁµÂ∆—≈‰,20210812,813435,-453254,-147509
11,A235980,∏ﬁµÂ∆—≈‰,20210811,777646,-426393,-144182
12,A235980,∏ﬁµÂ∆—≈‰,20210810,747287,-412711,-137048
13,A235980,∏ﬁµÂ∆—≈‰,20210809,791503,-432967,-158672
14,A235980,∏ﬁµÂ∆—≈‰,20210806,771449,-415818,-155603
15,A235980,∏ﬁµÂ∆—≈‰,20210805,775650,-409018,-169871
16,A235980,∏ﬁµÂ∆—≈‰,20210804,834070,-471425,-202650
17,A235980,∏ﬁµÂ∆—≈‰,20210803,839808,-488998,-201607
18,A235980,∏ﬁµÂ∆—≈‰,20210802,829089,-489772,-194540
19,A235980,∏ﬁµÂ∆—≈‰,20210730,850787,-500067,-207897
20,A235980,∏ﬁµÂ∆—≈‰,20210729,829959,-496307,-197380
21,A235980,∏ﬁµÂ∆—≈‰,20210728,780338,-488697,-159150
22,A235980,∏ﬁµÂ∆—≈‰,20210727,739214,-466551,-147225
23,A235980,∏ﬁµÂ∆—≈‰,20210726,719568,-453068,-146781
24,A235980,∏ﬁµÂ∆—≈‰,20210723,686589,-423414,-146922
25,A235980,∏ﬁµÂ∆—≈‰,20210722,692639,-415856,-164451
26,A235980,∏ﬁµÂ∆—≈‰,20210721,661605,-373641,-173548
27,A235980,∏ﬁµÂ∆—≈‰,20210720,664841,-404678,-201862
28,A235980,∏ﬁµÂ∆—≈‰,20210719,655232,-399405,-200005
