,曽鯉坪球,曽鯉誤,劾促,鯵昔 授古呪,須厩昔 授古呪,奄淫 授古呪
83,A068400,SK兄斗朝,20210429,242046,61777,-230603
84,A068400,SK兄斗朝,20210428,231772,63775,-232025
85,A068400,SK兄斗朝,20210427,210838,74759,-231575
86,A068400,SK兄斗朝,20210426,214094,73921,-233898
87,A068400,SK兄斗朝,20210423,210351,78742,-235977
88,A068400,SK兄斗朝,20210422,224093,69317,-238427
89,A068400,SK兄斗朝,20210421,260712,35746,-239707
90,A068400,SK兄斗朝,20210420,264005,40246,-244781
91,A068400,SK兄斗朝,20210419,272755,36106,-247982
92,A068400,SK兄斗朝,20210416,248875,61948,-248434
93,A068400,SK兄斗朝,20210415,282588,29902,-250037
94,A068400,SK兄斗朝,20210414,308495,10808,-256708
95,A068400,SK兄斗朝,20210413,311755,7177,-255993
96,A068400,SK兄斗朝,20210412,314271,6429,-257996
97,A068400,SK兄斗朝,20210409,317098,7168,-261820
98,A068400,SK兄斗朝,20210408,312890,7634,-261108
99,A068400,SK兄斗朝,20210407,310631,4784,-256164
100,A068400,SK兄斗朝,20210406,324619,-7627,-257691
101,A068400,SK兄斗朝,20210405,313280,-674,-253305
102,A068400,SK兄斗朝,20210402,316070,-804,-255965
103,A068400,SK兄斗朝,20210401,294101,6447,-241097
104,A068400,SK兄斗朝,20210331,291354,9158,-242041
105,A068400,SK兄斗朝,20210330,288019,14595,-244032
106,A068400,SK兄斗朝,20210329,291412,12146,-244966
107,A068400,SK兄斗朝,20210326,308726,-1893,-248231
108,A068400,SK兄斗朝,20210325,274765,-7470,-209284
109,A068400,SK兄斗朝,20210324,225235,-11192,-156735
110,A068400,SK兄斗朝,20210323,195446,19147,-155502
111,A068400,SK兄斗朝,20210322,114618,-1264,-109852
112,A068400,SK兄斗朝,20210319,93659,1431,-91628
113,A068400,SK兄斗朝,20210318,51133,-1818,-46803
114,A068400,SK兄斗朝,20210317,41117,-41620,-14224
115,A068400,SK兄斗朝,20210316,16117,-45156,15327
116,A068400,SK兄斗朝,20210315,22156,-44452,16092
117,A068400,SK兄斗朝,20210312,15262,-40749,21283
118,A068400,SK兄斗朝,20210311,23468,-39071,14799
