,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฐณภฮ ผ๘ธลผ๖,ฟÜฑนภฮ ผ๘ธลผ๖,ฑโฐü ผ๘ธลผ๖
0,A004020,ว๖ด๋มฆรถ,20210827,-1780008,1348130,464739
1,A004020,ว๖ด๋มฆรถ,20210826,-1713041,1310116,430809
2,A004020,ว๖ด๋มฆรถ,20210825,-1683933,1234771,479689
3,A004020,ว๖ด๋มฆรถ,20210824,-1702835,1244643,487731
4,A004020,ว๖ด๋มฆรถ,20210823,-1620585,1204165,447716
5,A004020,ว๖ด๋มฆรถ,20210820,-1633079,1165156,500572
6,A004020,ว๖ด๋มฆรถ,20210819,-1503624,940141,593512
7,A004020,ว๖ด๋มฆรถ,20210818,-1689510,1055686,667266
8,A004020,ว๖ด๋มฆรถ,20210817,-1583730,972326,646040
9,A004020,ว๖ด๋มฆรถ,20210813,-1683299,1100886,610599
10,A004020,ว๖ด๋มฆรถ,20210812,-1610619,1044586,584642
11,A004020,ว๖ด๋มฆรถ,20210811,-1696597,1074683,640480
12,A004020,ว๖ด๋มฆรถ,20210810,-1556426,959343,613796
13,A004020,ว๖ด๋มฆรถ,20210809,-1629174,957718,687747
14,A004020,ว๖ด๋มฆรถ,20210806,-1806041,1049855,776189
15,A004020,ว๖ด๋มฆรถ,20210805,-1699348,970612,750734
16,A004020,ว๖ด๋มฆรถ,20210804,-1652205,961016,714541
17,A004020,ว๖ด๋มฆรถ,20210803,-1464590,741565,748174
18,A004020,ว๖ด๋มฆรถ,20210802,-2218834,1262710,966600
19,A004020,ว๖ด๋มฆรถ,20210730,-2228507,1389492,850023
20,A004020,ว๖ด๋มฆรถ,20210729,-1690315,1001078,691708
21,A004020,ว๖ด๋มฆรถ,20210728,-1811268,986036,776189
22,A004020,ว๖ด๋มฆรถ,20210727,-1662034,883320,722764
23,A004020,ว๖ด๋มฆรถ,20210726,-1035462,491021,479241
24,A004020,ว๖ด๋มฆรถ,20210723,-946114,449326,432772
25,A004020,ว๖ด๋มฆรถ,20210722,-634533,346510,242112
26,A004020,ว๖ด๋มฆรถ,20210721,-237566,107749,74319
