,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,╟Ёюн ╪Ь╦е╪Ж,©э╠╧юн ╪Ь╦е╪Ж,╠Б╟Э ╪Ь╦е╪Ж
0,A017250,юнем©╔,20210827,-246150,274534,7000
1,A017250,юнем©╔,20210826,-242944,271605,7000
2,A017250,юнем©╔,20210825,-240965,269494,7000
3,A017250,юнем©╔,20210824,-240083,268612,7000
4,A017250,юнем©╔,20210823,-238746,267407,7000
5,A017250,юнем©╔,20210820,-247316,255197,27790
6,A017250,юнем©╔,20210819,-238801,247187,27790
7,A017250,юнем©╔,20210818,-246996,253982,27790
8,A017250,юнем©╔,20210817,-244168,252711,27790
9,A017250,юнем©╔,20210813,-261340,270133,27790
10,A017250,юнем©╔,20210812,-269251,278244,27790
11,A017250,юнем©╔,20210811,-271646,280439,27790
12,A017250,юнем©╔,20210810,-282145,290938,27790
13,A017250,юнем©╔,20210809,-287139,295932,27790
14,A017250,юнем©╔,20210806,-290811,299604,27790
15,A017250,юнем©╔,20210805,-292725,301618,27790
16,A017250,юнем©╔,20210804,-285458,300231,27790
17,A017250,юнем©╔,20210803,-285814,300587,27790
18,A017250,юнем©╔,20210802,-292353,307126,27790
19,A017250,юнем©╔,20210730,-296710,307447,24982
20,A017250,юнем©╔,20210729,-310185,315140,24982
21,A017250,юнем©╔,20210728,-311380,316335,24982
22,A017250,юнем©╔,20210727,-308764,319274,19427
23,A017250,юнем©╔,20210726,-301441,317552,13826
24,A017250,юнем©╔,20210723,-309839,324330,13826
25,A017250,юнем©╔,20210722,-305887,320368,13826
26,A017250,юнем©╔,20210721,-285874,300355,13826
27,A017250,юнем©╔,20210720,-281009,301325,8241
28,A017250,юнем©╔,20210719,-282392,303308,8241
29,A017250,юнем©╔,20210716,-283267,304603,8241
30,A017250,юнем©╔,20210715,-277530,304480,2777
31,A017250,юнем©╔,20210714,-252542,280092,2777
32,A017250,юнем©╔,20210713,-221075,252902,0
33,A017250,юнем©╔,20210712,-219496,250990,0
34,A017250,юнем©╔,20210709,-212197,243841,0
35,A017250,юнем©╔,20210708,-206094,223196,14841
36,A017250,юнем©╔,20210707,-189543,221542,0
37,A017250,юнем©╔,20210706,-193326,225925,0
38,A017250,юнем©╔,20210705,-195208,227807,0
39,A017250,юнем©╔,20210702,-181840,216439,0
40,A017250,юнем©╔,20210701,-154490,189018,0
41,A017250,юнем©╔,20210630,-148882,190254,0
42,A017250,юнем©╔,20210629,-150626,191998,0
43,A017250,юнем©╔,20210628,-146508,188213,0
44,A017250,юнем©╔,20210625,-139441,181001,0
45,A017250,юнем©╔,20210624,-134931,175847,0
46,A017250,юнем©╔,20210623,-127223,168139,0
47,A017250,юнем©╔,20210622,-123422,164282,0
48,A017250,юнем©╔,20210621,-97925,138777,0
49,A017250,юнем©╔,20210618,-86232,127084,0
50,A017250,юнем©╔,20210617,-66928,107833,0
51,A017250,юнем©╔,20210616,-58457,99272,0
52,A017250,юнем©╔,20210615,-50717,91527,0
53,A017250,юнем©╔,20210614,-30599,84658,0
54,A017250,юнем©╔,20210611,-28824,85371,0
55,A017250,юнем©╔,20210610,-29093,85740,0
56,A017250,юнем©╔,20210609,-21281,77908,0
57,A017250,юнем©╔,20210608,-20238,76865,0
58,A017250,юнем©╔,20210607,-19500,75120,0
59,A017250,юнем©╔,20210604,-18029,73849,0
60,A017250,юнем©╔,20210603,-13764,69534,0
61,A017250,юнем©╔,20210602,-8291,64061,0
62,A017250,юнем©╔,20210601,-13774,69544,0
63,A017250,юнем©╔,20210531,-11253,67223,0
64,A017250,юнем©╔,20210528,-13082,69052,0
65,A017250,юнем©╔,20210527,-16168,72288,0
66,A017250,юнем©╔,20210526,-18736,73956,0
67,A017250,юнем©╔,20210525,-26552,81772,0
68,A017250,юнем©╔,20210524,-39346,94721,0
69,A017250,юнем©╔,20210521,-48907,104332,0
70,A017250,юнем©╔,20210520,-53165,108590,0
71,A017250,юнем©╔,20210518,-56201,111626,0
72,A017250,юнем©╔,20210517,-57006,112431,0
73,A017250,юнем©╔,20210514,-60057,115600,0
74,A017250,юнем©╔,20210513,-60163,115708,0
75,A017250,юнем©╔,20210512,-58958,114503,0
76,A017250,юнем©╔,20210511,-67175,122720,0
77,A017250,юнем©╔,20210510,-75112,127157,0
78,A017250,юнем©╔,20210507,-78039,126071,0
79,A017250,юнем©╔,20210506,-75143,123221,0
80,A017250,юнем©╔,20210504,-70469,118547,0
81,A017250,юнем©╔,20210503,-50911,98988,0
82,A017250,юнем©╔,20210430,-50372,98449,0
83,A017250,юнем©╔,20210429,-32151,80228,0
84,A017250,юнем©╔,20210428,-29730,76307,0
85,A017250,юнем©╔,20210427,-23853,70329,0
86,A017250,юнем©╔,20210426,-36212,82688,0
87,A017250,юнем©╔,20210423,-38698,85159,0
88,A017250,юнем©╔,20210422,-3832,50343,0
89,A017250,юнем©╔,20210421,-3114,49619,0
90,A017250,юнем©╔,20210420,-2519,49024,0
91,A017250,юнем©╔,20210419,-2435,48951,0
92,A017250,юнем©╔,20210416,-10617,57133,0
93,A017250,юнем©╔,20210415,-10434,56900,0
94,A017250,юнем©╔,20210414,-10518,56384,0
95,A017250,юнем©╔,20210413,-14499,60361,0
96,A017250,юнем©╔,20210412,-29828,75590,0
97,A017250,юнем©╔,20210409,-26012,70874,0
98,A017250,юнем©╔,20210408,-58445,68002,0
99,A017250,юнем©╔,20210407,-68395,71852,0
100,A017250,юнем©╔,20210406,-53604,62811,0
101,A017250,юнем©╔,20210405,-50401,59030,0
102,A017250,юнем©╔,20210402,-49306,57143,0
103,A017250,юнем©╔,20210401,-51286,57523,0
104,A017250,юнем©╔,20210331,-47371,53308,0
105,A017250,юнем©╔,20210330,-51127,57063,0
106,A017250,юнем©╔,20210329,-55728,60764,0
107,A017250,юнем©╔,20210326,-53181,57222,0
108,A017250,юнем©╔,20210325,-44495,40962,0
109,A017250,юнем©╔,20210324,-34661,31225,0
