,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,╟Ёюн ╪Ь╦е╪Ж,©э╠╧юн ╪Ь╦е╪Ж,╠Б╟Э ╪Ь╦е╪Ж
0,A003240,еб╠╓╩Й╬В,20210827,-3159,-12601,14586
1,A003240,еб╠╓╩Й╬В,20210826,-2921,-12806,14552
2,A003240,еб╠╓╩Й╬В,20210825,-2932,-12816,14573
3,A003240,еб╠╓╩Й╬В,20210824,-2875,-12918,14618
4,A003240,еб╠╓╩Й╬В,20210823,-2981,-12785,14556
5,A003240,еб╠╓╩Й╬В,20210820,-2877,-12827,14494
6,A003240,еб╠╓╩Й╬В,20210819,-3513,-12142,14451
7,A003240,еб╠╓╩Й╬В,20210818,-3634,-11965,14530
8,A003240,еб╠╓╩Й╬В,20210817,-3502,-11865,14297
9,A003240,еб╠╓╩Й╬В,20210813,-4095,-11217,14241
10,A003240,еб╠╓╩Й╬В,20210812,-4280,-11059,14268
11,A003240,еб╠╓╩Й╬В,20210811,-4264,-11036,14220
12,A003240,еб╠╓╩Й╬В,20210810,-4123,-11120,14154
13,A003240,еб╠╓╩Й╬В,20210809,-4105,-10978,13995
14,A003240,еб╠╓╩Й╬В,20210806,-4119,-10921,13954
15,A003240,еб╠╓╩Й╬В,20210805,-4142,-10830,13886
16,A003240,еб╠╓╩Й╬В,20210804,-4088,-10556,13555
17,A003240,еб╠╓╩Й╬В,20210803,-4159,-10413,13483
18,A003240,еб╠╓╩Й╬В,20210802,-4240,-10007,13153
19,A003240,еб╠╓╩Й╬В,20210730,-4344,-9739,12988
20,A003240,еб╠╓╩Й╬В,20210729,-4358,-9652,12916
21,A003240,еб╠╓╩Й╬В,20210728,-4270,-9562,12775
22,A003240,еб╠╓╩Й╬В,20210727,-4116,-9166,12223
23,A003240,еб╠╓╩Й╬В,20210726,-4172,-8867,11980
24,A003240,еб╠╓╩Й╬В,20210723,-4007,-8528,11528
25,A003240,еб╠╓╩Й╬В,20210722,-4005,-8242,11281
26,A003240,еб╠╓╩Й╬В,20210721,-3961,-8059,11054
27,A003240,еб╠╓╩Й╬В,20210720,-4271,-7806,11090
28,A003240,еб╠╓╩Й╬В,20210719,-4311,-7772,11097
29,A003240,еб╠╓╩Й╬В,20210716,-4569,-7595,11178
30,A003240,еб╠╓╩Й╬В,20210715,-4894,-7622,11540
31,A003240,еб╠╓╩Й╬В,20210714,-5040,-7456,11520
32,A003240,еб╠╓╩Й╬В,20210713,-5170,-7546,11741
33,A003240,еб╠╓╩Й╬В,20210712,-5277,-7460,11755
34,A003240,еб╠╓╩Й╬В,20210709,-5212,-7529,11772
35,A003240,еб╠╓╩Й╬В,20210708,-5163,-7461,11658
36,A003240,еб╠╓╩Й╬В,20210707,-5593,-7069,11697
37,A003240,еб╠╓╩Й╬В,20210706,-5853,-6872,11755
38,A003240,еб╠╓╩Й╬В,20210705,-5801,-7147,11982
39,A003240,еб╠╓╩Й╬В,20210702,-5851,-7087,11972
40,A003240,еб╠╓╩Й╬В,20210701,-6418,-6567,12022
41,A003240,еб╠╓╩Й╬В,20210630,-6682,-6361,12156
42,A003240,еб╠╓╩Й╬В,20210629,-7064,-5734,11912
43,A003240,еб╠╓╩Й╬В,20210628,-7216,-5594,11925
44,A003240,еб╠╓╩Й╬В,20210625,-7362,-5604,12066
45,A003240,еб╠╓╩Й╬В,20210624,-7306,-5725,12129
