,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฐณภฮ ผ๘ธลผ๖,ฟÜฑนภฮ ผ๘ธลผ๖,ฑโฐü ผ๘ธลผ๖
42,A226320,ภีร๗วับา,20210629,-90562,62810,44950
43,A226320,ภีร๗วับา,20210628,-94273,66588,44893
44,A226320,ภีร๗วับา,20210625,-90613,67322,44566
45,A226320,ภีร๗วับา,20210624,-87797,65322,43751
46,A226320,ภีร๗วับา,20210623,-87309,62171,45190
47,A226320,ภีร๗วับา,20210622,-98036,71675,45730
48,A226320,ภีร๗วับา,20210621,-103813,80708,42481
49,A226320,ภีร๗วับา,20210618,-124872,89113,43141
50,A226320,ภีร๗วับา,20210617,-132999,106305,33359
51,A226320,ภีร๗วับา,20210616,-113721,87681,33690
52,A226320,ภีร๗วับา,20210615,-98706,79354,24559
53,A226320,ภีร๗วับา,20210614,-86585,77272,14946
54,A226320,ภีร๗วับา,20210611,-86395,76145,15833
55,A226320,ภีร๗วับา,20210610,-96480,85428,16828
56,A226320,ภีร๗วับา,20210609,-84959,72783,18146
57,A226320,ภีร๗วับา,20210608,-86513,75213,17349
58,A226320,ภีร๗วับา,20210607,-90932,79225,16806
59,A226320,ภีร๗วับา,20210604,-92926,80343,17541
60,A226320,ภีร๗วับา,20210603,-94777,72316,18130
61,A226320,ภีร๗วับา,20210602,-142021,117170,20911
62,A226320,ภีร๗วับา,20210601,-83927,62892,20459
63,A226320,ภีร๗วับา,20210531,-166323,142581,24406
64,A226320,ภีร๗วับา,20210528,-81409,58504,22799
65,A226320,ภีร๗วับา,20210527,-90166,67969,21823
66,A226320,ภีร๗วับา,20210526,-101124,80848,20681
67,A226320,ภีร๗วับา,20210525,-68323,49084,19064
68,A226320,ภีร๗วับา,20210524,-67341,48325,18836
69,A226320,ภีร๗วับา,20210521,-64911,44696,20040
70,A226320,ภีร๗วับา,20210520,-72520,48592,23453
71,A226320,ภีร๗วับา,20210518,-73553,49324,23195
72,A226320,ภีร๗วับา,20210517,-73524,49016,23608
73,A226320,ภีร๗วับา,20210514,-71903,47768,23821
74,A226320,ภีร๗วับา,20210513,-60217,38101,21393
