,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,╫ц╟║,╟М╟║,юЗ╟║,а╬╟║,╟е╥║╥╝,аУ╠гюЭ╩Й╬Ва╬дз╣Е,╧ъгЮаж╫д╪Ж
0,A023160,еб╠╓,20210823,11250,11400,11050,11350,44420,268,26500000
1,A023160,еб╠╓,20210820,11350,11400,11000,11150,214662,268,26500000
2,A023160,еб╠╓,20210819,11650,11950,11100,11100,346816,268,26500000
3,A023160,еб╠╓,20210818,11700,12100,11450,11850,185685,268,26500000
4,A023160,еб╠╓,20210817,12300,12650,11800,11800,281822,268,26500000
5,A023160,еб╠╓,20210813,12550,12550,11950,12300,239887,268,26500000
6,A023160,еб╠╓,20210812,12650,12850,12400,12500,124381,268,26500000
7,A023160,еб╠╓,20210811,12450,12750,12300,12750,179026,268,26500000
8,A023160,еб╠╓,20210810,12900,12900,12400,12450,179110,268,26500000
9,A023160,еб╠╓,20210809,13000,13000,12600,12900,248843,268,26500000
10,A023160,еб╠╓,20210806,12550,12750,12400,12750,130772,268,26500000
11,A023160,еб╠╓,20210805,12450,12550,12300,12500,112955,268,26500000
12,A023160,еб╠╓,20210804,12350,12550,11900,12450,179982,268,26500000
13,A023160,еб╠╓,20210803,12450,12450,11900,12200,324530,268,26500000
14,A023160,еб╠╓,20210802,12650,12700,12350,12450,172825,268,26500000
15,A023160,еб╠╓,20210730,12900,12900,12400,12550,252496,268,26500000
16,A023160,еб╠╓,20210729,12900,12900,12700,12850,123711,268,26500000
17,A023160,еб╠╓,20210728,12750,13050,12600,12750,252723,268,26500000
18,A023160,еб╠╓,20210727,13100,13400,12700,12850,332025,268,26500000
19,A023160,еб╠╓,20210726,12850,13300,12800,13000,286716,268,26500000
20,A023160,еб╠╓,20210723,12750,12950,12500,12800,200158,268,26500000
21,A023160,еб╠╓,20210722,12900,13050,12600,12750,226120,268,26500000
22,A023160,еб╠╓,20210721,13400,13400,12400,12750,579495,268,26500000
