,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,╫ц╟║,╟М╟║,юЗ╟║,а╬╟║,╟е╥║╥╝,аУ╠гюЭ╩Й╬Ва╬дз╣Е,╧ъгЮаж╫д╪Ж
0,A043340,©║╫Кеве╘,20210823,1220,1255,1200,1255,277240,270,72000000
1,A043340,©║╫Кеве╘,20210820,1290,1295,1205,1220,1091999,270,72000000
2,A043340,©║╫Кеве╘,20210819,1300,1340,1265,1265,784510,270,72000000
3,A043340,©║╫Кеве╘,20210818,1295,1340,1290,1320,822899,270,72000000
4,A043340,©║╫Кеве╘,20210817,1370,1385,1290,1310,1805554,270,72000000
5,A043340,©║╫Кеве╘,20210813,1410,1415,1355,1395,1200403,270,72000000
6,A043340,©║╫Кеве╘,20210812,1445,1450,1410,1410,623230,270,72000000
7,A043340,©║╫Кеве╘,20210811,1445,1465,1425,1450,701298,270,72000000
8,A043340,©║╫Кеве╘,20210810,1465,1490,1420,1445,1417505,270,72000000
9,A043340,©║╫Кеве╘,20210809,1505,1525,1445,1465,1587667,270,72000000
10,A043340,©║╫Кеве╘,20210806,1550,1555,1490,1510,1537946,270,72000000
11,A043340,©║╫Кеве╘,20210805,1580,1580,1540,1555,1143547,270,72000000
12,A043340,©║╫Кеве╘,20210804,1550,1600,1525,1585,2262548,270,72000000
13,A043340,©║╫Кеве╘,20210803,1580,1580,1520,1555,1723460,270,72000000
14,A043340,©║╫Кеве╘,20210802,1605,1620,1555,1565,3165723,270,72000000
15,A043340,©║╫Кеве╘,20210730,1630,1655,1590,1605,1995397,270,72000000
16,A043340,©║╫Кеве╘,20210729,1675,1690,1625,1640,2859630,270,72000000
17,A043340,©║╫Кеве╘,20210728,1695,1700,1650,1695,2489072,270,72000000
18,A043340,©║╫Кеве╘,20210727,1895,2000,1670,1695,15707659,270,72000000
19,A043340,©║╫Кеве╘,20210726,1955,1955,1855,1855,2809085,270,72000000
20,A043340,©║╫Кеве╘,20210723,1930,1950,1920,1930,2063331,270,72000000
21,A043340,©║╫Кеве╘,20210722,1900,1935,1895,1930,3553226,270,72000000
22,A043340,©║╫Кеве╘,20210721,2075,2180,1910,1990,35581066,270,72000000
23,A043340,©║╫Кеве╘,20210720,2065,2195,1865,1985,75998690,270,72000000
24,A043340,©║╫Кеве╘,20210719,1525,1940,1520,1940,32069906,270,72000000
25,A043340,©║╫Кеве╘,20210716,1410,1545,1375,1495,11821835,270,72000000
26,A043340,©║╫Кеве╘,20210715,1400,1475,1380,1410,5231147,270,72000000
27,A043340,©║╫Кеве╘,20210714,1405,1405,1360,1385,899047,270,72000000
28,A043340,©║╫Кеве╘,20210713,1410,1435,1355,1395,3171901,270,72000000
29,A043340,©║╫Кеве╘,20210712,1320,1395,1290,1360,2187550,270,72000000
30,A043340,©║╫Кеве╘,20210709,1310,1310,1260,1300,403360,270,72000000
31,A043340,©║╫Кеве╘,20210708,1350,1350,1300,1310,320985,270,72000000
32,A043340,©║╫Кеве╘,20210707,1305,1350,1290,1345,308792,270,72000000
33,A043340,©║╫Кеве╘,20210706,1305,1305,1275,1305,349211,270,72000000
34,A043340,©║╫Кеве╘,20210705,1325,1325,1290,1300,360549,270,72000000
35,A043340,©║╫Кеве╘,20210702,1350,1350,1310,1315,455111,270,72000000
36,A043340,©║╫Кеве╘,20210701,1365,1365,1330,1350,137392,270,72000000
37,A043340,©║╫Кеве╘,20210630,1355,1360,1320,1350,322305,270,72000000
38,A043340,©║╫Кеве╘,20210629,1365,1365,1335,1345,292812,270,72000000
39,A043340,©║╫Кеве╘,20210628,1375,1380,1335,1350,471533,270,72000000
40,A043340,©║╫Кеве╘,20210625,1375,1390,1370,1375,238020,270,72000000
41,A043340,©║╫Кеве╘,20210624,1355,1385,1325,1375,487385,270,72000000
42,A043340,©║╫Кеве╘,20210623,1370,1380,1320,1340,710906,270,72000000
43,A043340,©║╫Кеве╘,20210622,1380,1385,1350,1365,395733,270,72000000
44,A043340,©║╫Кеве╘,20210621,1380,1400,1360,1375,508890,270,72000000
45,A043340,©║╫Кеве╘,20210618,1410,1415,1375,1400,665380,270,72000000
46,A043340,©║╫Кеве╘,20210617,1370,1405,1365,1400,1480802,270,72000000
47,A043340,©║╫Кеве╘,20210616,1380,1385,1355,1365,412735,270,72000000
48,A043340,©║╫Кеве╘,20210615,1360,1375,1340,1375,416907,270,72000000
49,A043340,©║╫Кеве╘,20210614,1380,1390,1340,1355,642716,270,72000000
50,A043340,©║╫Кеве╘,20210611,1390,1395,1370,1375,548406,270,72000000
51,A043340,©║╫Кеве╘,20210610,1385,1400,1370,1380,500560,270,72000000
52,A043340,©║╫Кеве╘,20210609,1410,1415,1370,1385,998315,270,72000000
53,A043340,©║╫Кеве╘,20210608,1390,1405,1360,1395,834101,270,72000000
54,A043340,©║╫Кеве╘,20210607,1405,1475,1390,1390,2879234,270,72000000
55,A043340,©║╫Кеве╘,20210604,1440,1460,1380,1405,2058177,270,72000000
56,A043340,©║╫Кеве╘,20210603,1395,1430,1385,1430,1195527,270,72000000
57,A043340,©║╫Кеве╘,20210602,1415,1425,1395,1405,722291,270,72000000
58,A043340,©║╫Кеве╘,20210601,1440,1480,1395,1415,2515417,270,72000000
59,A043340,©║╫Кеве╘,20210531,1400,1485,1375,1480,6465058,270,72000000
60,A043340,©║╫Кеве╘,20210528,1400,1405,1345,1365,1418295,270,72000000
61,A043340,©║╫Кеве╘,20210527,1390,1470,1375,1390,4046153,270,72000000
62,A043340,©║╫Кеве╘,20210526,1400,1425,1365,1385,1516500,270,72000000
63,A043340,©║╫Кеве╘,20210525,1340,1430,1325,1430,3371943,270,72000000
64,A043340,©║╫Кеве╘,20210524,1335,1435,1315,1315,5805867,270,72000000
65,A043340,©║╫Кеве╘,20210521,1330,1350,1315,1330,935979,270,72000000
66,A043340,©║╫Кеве╘,20210520,1270,1395,1255,1335,7480126,270,72000000
67,A043340,©║╫Кеве╘,20210518,1270,1285,1240,1280,313042,270,72000000
68,A043340,©║╫Кеве╘,20210517,1315,1315,1265,1270,425648,270,72000000
69,A043340,©║╫Кеве╘,20210514,1330,1335,1295,1310,449012,270,72000000
70,A043340,©║╫Кеве╘,20210513,1275,1345,1260,1320,1190882,270,72000000
