,Á¾¸סÄÚµו,Á¾¸ס¸ם,³¯Â¥,½Ã°¡,°ם°¡,Àת°¡,Á¾°¡,°Å·¡·®,Áץ±ÇÀü»ך¾קÁ¾ÄÚµו,¹‗ÇאÁÖ½Ä¼צ
0,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210823,1390,1390,1390,1390,0,360,27424000
1,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210820,1390,1390,1390,1390,0,360,27424000
2,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210819,1390,1390,1390,1390,0,360,27424000
3,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210818,1390,1390,1390,1390,0,360,27424000
4,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210817,1390,1390,1390,1390,0,360,27424000
5,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210813,1390,1390,1390,1390,0,360,27424000
6,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210812,1390,1390,1390,1390,0,360,27424000
7,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210811,1390,1390,1390,1390,0,360,27424000
8,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210810,1390,1390,1390,1390,0,360,27424000
9,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210809,1390,1390,1390,1390,0,360,27424000
10,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210806,1390,1390,1390,1390,0,360,27424000
11,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210805,1390,1390,1390,1390,0,360,27424000
12,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210804,1390,1390,1390,1390,0,360,27424000
13,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210803,1390,1390,1390,1390,0,360,27424000
14,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210802,1390,1390,1390,1390,0,360,27424000
15,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210730,1390,1390,1390,1390,0,360,27424000
16,A083470,ÀÌ¿¥¾Ø¾ÆÀÌ,20210729,1390,1390,1390,1390,0,360,27424000
