,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฝรฐก,ฐํฐก,ภ๚ฐก,มพฐก,ฐลทกทฎ,ม๕ฑวภüป๊พ๗มพฤฺตๅ,น฿วเมึฝฤผ๖
0,A083660,CSA ฤฺฝบนอ,20210823,1500,1560,1500,1525,26043,265,37934000
1,A083660,CSA ฤฺฝบนอ,20210820,1500,1535,1475,1495,106325,265,37934000
2,A083660,CSA ฤฺฝบนอ,20210819,1510,1575,1490,1500,100189,265,37934000
3,A083660,CSA ฤฺฝบนอ,20210818,1535,1540,1470,1495,83916,265,37934000
4,A083660,CSA ฤฺฝบนอ,20210817,1550,1570,1520,1535,48976,265,37934000
5,A083660,CSA ฤฺฝบนอ,20210813,1545,1610,1520,1560,160342,265,37934000
6,A083660,CSA ฤฺฝบนอ,20210812,1545,1600,1535,1550,41432,265,37934000
7,A083660,CSA ฤฺฝบนอ,20210811,1530,1635,1515,1565,156568,265,37934000
8,A083660,CSA ฤฺฝบนอ,20210810,1585,1605,1520,1520,156229,265,37934000
9,A083660,CSA ฤฺฝบนอ,20210809,1620,1640,1590,1600,53378,265,37934000
10,A083660,CSA ฤฺฝบนอ,20210806,1660,1665,1605,1620,108264,265,37934000
11,A083660,CSA ฤฺฝบนอ,20210805,1680,1680,1625,1660,71947,265,37934000
12,A083660,CSA ฤฺฝบนอ,20210804,1665,1710,1595,1655,334274,265,37934000
13,A083660,CSA ฤฺฝบนอ,20210803,1540,1990,1520,1695,4354588,265,37934000
14,A083660,CSA ฤฺฝบนอ,20210802,1540,1545,1495,1540,50374,265,37934000
15,A083660,CSA ฤฺฝบนอ,20210730,1560,1590,1540,1540,18120,265,37934000
16,A083660,CSA ฤฺฝบนอ,20210729,1575,1590,1550,1565,19272,265,37934000
17,A083660,CSA ฤฺฝบนอ,20210728,1595,1600,1540,1550,52292,265,37934000
18,A083660,CSA ฤฺฝบนอ,20210727,1580,1655,1565,1575,67705,265,37934000
19,A083660,CSA ฤฺฝบนอ,20210726,1635,1645,1600,1610,44891,265,37934000
20,A083660,CSA ฤฺฝบนอ,20210723,1635,1665,1625,1635,35068,265,37934000
21,A083660,CSA ฤฺฝบนอ,20210722,1675,1680,1620,1620,84190,265,37934000
22,A083660,CSA ฤฺฝบนอ,20210721,1665,1685,1660,1665,18589,265,37934000
23,A083660,CSA ฤฺฝบนอ,20210720,1700,1700,1650,1660,48056,265,37934000
24,A083660,CSA ฤฺฝบนอ,20210719,1730,1735,1680,1700,38298,265,37934000
25,A083660,CSA ฤฺฝบนอ,20210716,1755,1770,1715,1730,35955,265,37934000
26,A083660,CSA ฤฺฝบนอ,20210715,1730,1730,1690,1730,37711,265,37934000
27,A083660,CSA ฤฺฝบนอ,20210714,1660,1745,1660,1730,93092,265,37934000
28,A083660,CSA ฤฺฝบนอ,20210713,1660,1680,1630,1660,86094,265,37934000
29,A083660,CSA ฤฺฝบนอ,20210712,1690,1725,1645,1675,100236,265,37934000
30,A083660,CSA ฤฺฝบนอ,20210709,1750,1750,1680,1695,89987,265,37934000
31,A083660,CSA ฤฺฝบนอ,20210708,1785,1785,1740,1750,54273,265,37934000
32,A083660,CSA ฤฺฝบนอ,20210707,1800,1800,1740,1780,111551,265,37934000
33,A083660,CSA ฤฺฝบนอ,20210706,1800,1820,1790,1800,43602,265,37072000
34,A083660,CSA ฤฺฝบนอ,20210705,1820,1825,1790,1800,33527,265,37072000
35,A083660,CSA ฤฺฝบนอ,20210702,1840,1850,1815,1815,66595,265,37072000
36,A083660,CSA ฤฺฝบนอ,20210701,1845,1845,1810,1835,45329,265,37072000
37,A083660,CSA ฤฺฝบนอ,20210630,1850,1870,1770,1850,153028,265,37072000
