,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,╫ц╟║,╟М╟║,юЗ╟║,а╬╟║,╟е╥║╥╝,аУ╠гюЭ╩Й╬Ва╬дз╣Е,╧ъгЮаж╫д╪Ж
0,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210823,1365,1365,1365,1365,139,000,11100000
1,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210820,1390,1390,1200,1365,12,000,11100000
2,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210819,1225,1225,1225,1225,147,000,11100000
3,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210818,1345,1345,1080,1080,1736,000,11100000
4,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210817,1260,1260,1185,1190,52,000,11100000
5,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210813,1285,1285,1120,1260,19,000,11100000
6,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210812,1185,1575,1175,1290,1083,000,11100000
7,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210811,1455,1455,1100,1380,1103,000,11100000
8,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210810,1350,1350,1280,1280,6,000,11100000
9,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210809,1170,1555,1170,1185,2884,000,11100000
10,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210806,1375,1375,1375,1375,1,000,11100000
11,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210805,1455,1455,1200,1285,112,000,11100000
12,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210804,1200,1285,1200,1285,14,000,11100000
13,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210803,1315,1315,1100,1235,43,000,11100000
14,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210802,1335,1335,1100,1150,940,000,11100000
15,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210730,1395,1395,1100,1190,4784,000,11100000
16,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210729,1380,1380,1085,1230,782,000,11100000
17,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210728,1385,1385,1210,1220,1300,000,11100000
18,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210727,1555,1555,1300,1400,103,000,11100000
19,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210726,1400,1400,1360,1360,8,000,11100000
20,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210723,1430,1430,1405,1405,424,000,11100000
21,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210722,1615,1770,1350,1440,6342,000,11100000
22,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210721,1595,1595,1340,1550,3403,000,11100000
23,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210720,1675,1675,1325,1400,103,000,11100000
24,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210719,1545,1545,1495,1495,12,000,11100000
25,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210716,2060,2060,1540,1595,749,000,11100000
26,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210715,1845,1845,1810,1810,13,000,11100000
27,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210714,1645,1645,1645,1645,1,000,11100000
28,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210713,1825,1825,1400,1440,1239,000,11100000
29,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210712,1990,1990,1600,1600,336,000,11100000
30,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210709,1590,1745,1590,1745,1001,000,11100000
31,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210708,1590,1825,1400,1700,944,000,11100000
32,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210707,1430,1600,1430,1595,293,000,11100000
33,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210706,1845,1845,1665,1665,103,000,11100000
34,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210705,2070,2070,1560,1955,603,000,11100000
35,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210702,2000,2000,1530,1820,1701,000,11100000
36,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210701,1800,1800,1800,1800,0,000,11100000
37,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210630,2140,2140,1885,1885,2,000,11100000
38,A299480,аЖ╬ьюлгО╫╨ди╬Н,20210629,1870,1870,1865,1865,226,000,11100000
