,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฝรฐก,ฐํฐก,ภ๚ฐก,มพฐก,ฐลทกทฎ,ม๕ฑวภüป๊พ๗มพฤฺตๅ,น฿วเมึฝฤผ๖
0,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210823,13955,13955,13955,13955,0,000,200000
1,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210820,14265,14265,13955,13955,377,000,200000
2,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210819,14535,14545,14175,14175,109,000,200000
3,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210818,14600,14705,14600,14675,593,000,200000
4,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210817,14780,14780,14555,14555,324,000,200000
5,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210813,15035,15035,14650,14740,2837,000,200000
6,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210812,15120,15155,15065,15065,10,000,200000
7,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210811,15160,15170,15125,15145,14,000,200000
8,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210810,15280,15280,15110,15110,21,000,200000
9,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210809,15165,15345,15165,15320,36,000,200000
10,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210806,15450,15450,15270,15300,20,000,200000
11,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210805,15525,15525,15360,15360,65,000,200000
12,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210804,15345,15495,15345,15495,10,000,200000
13,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210803,15145,15205,15125,15205,1005,000,200000
14,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210802,15155,15155,15015,15095,27173,000,200000
15,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210730,15315,15315,15130,15170,1073,000,200000
16,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210729,15460,15460,15355,15395,24,000,200000
17,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210728,15290,15420,15290,15420,20,000,200000
18,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210727,15385,15395,15335,15350,10,000,200000
19,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210726,15405,15405,15300,15300,120,000,200000
20,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210723,15385,15455,15365,15420,25,000,200000
21,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210722,15200,15340,15200,15270,1185,000,200000
22,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210721,15135,15160,15060,15060,20,000,200000
23,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210720,15025,15100,15000,15060,261,000,200000
24,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210719,15195,15195,15090,15125,132,000,200000
25,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210716,15325,15360,15250,15360,14,000,200000
26,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210715,15340,15445,15315,15445,13,000,200000
27,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210714,15230,15295,15225,15250,47,000,200000
28,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210713,15375,15405,15340,15405,13,000,200000
29,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210712,15240,15290,15220,15220,41,000,200000
30,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210709,15095,15130,14935,15130,199,000,200000
31,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210708,15395,15440,15255,15255,288,000,250000
32,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210707,15540,15540,15420,15465,20,000,250000
33,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210706,15640,15665,15610,15610,11,000,250000
34,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210705,15585,15585,15505,15575,282,000,250000
35,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210702,15550,15600,15505,15505,632,000,400000
36,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210701,15650,15650,15505,15565,43,000,400000
37,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210630,15740,15740,15680,15735,127,000,400000
38,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210629,15805,15805,15655,15660,14,000,250000
39,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210628,15830,15830,15755,15785,57,000,250000
40,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210625,15780,15800,15760,15770,275,000,250000
41,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210624,15515,15720,15515,15705,783,000,250000
42,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210623,15510,15510,15435,15445,21,000,250000
43,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210622,15470,15500,15460,15480,284,000,250000
44,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210621,15345,15350,15265,15290,181,000,250000
45,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210618,15390,15430,15375,15415,742,000,250000
46,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210617,15535,15535,15450,15500,12,000,250000
47,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210616,15600,15630,15600,15600,36,000,250000
48,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210615,15435,15500,15435,15450,116,000,250000
49,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210614,15390,15405,15380,15400,208,000,250000
50,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210611,15455,15455,15405,15450,227,000,250000
51,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210610,15395,15420,15335,15360,35,000,250000
52,A252720,KBSTAR ธ๐ธเลาน๋ท๙,20210609,15545,15580,15445,15445,10,000,250000
