,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,╫ц╟║,╟М╟║,юЗ╟║,а╬╟║,╟е╥║╥╝,аУ╠гюЭ╩Й╬Ва╬дз╣Е,╧ъгЮаж╫д╪Ж
0,A260930,╬╬ф╪диюл,20210823,9310,9650,9310,9500,46185,265,19341000
1,A260930,╬╬ф╪диюл,20210820,9710,9790,9310,9310,103273,265,19341000
2,A260930,╬╬ф╪диюл,20210819,10300,10400,9670,9720,165549,265,19341000
3,A260930,╬╬ф╪диюл,20210818,10450,10700,10250,10400,172640,265,19341000
4,A260930,╬╬ф╪диюл,20210817,11500,11600,11000,11000,172941,265,19341000
5,A260930,╬╬ф╪диюл,20210813,11450,11450,10800,11200,328592,265,19341000
6,A260930,╬╬ф╪диюл,20210812,12050,12050,11600,11600,129409,265,19341000
7,A260930,╬╬ф╪диюл,20210811,11950,12150,11100,12100,483259,265,19341000
8,A260930,╬╬ф╪диюл,20210810,12150,12400,11700,12050,263304,265,19341000
9,A260930,╬╬ф╪диюл,20210809,12700,12800,11650,12250,851654,265,19341000
10,A260930,╬╬ф╪диюл,20210806,11950,12150,11800,12100,463137,265,19341000
11,A260930,╬╬ф╪диюл,20210805,11800,12200,11600,12000,364414,265,19341000
12,A260930,╬╬ф╪диюл,20210804,12150,12600,11650,11700,1015199,265,19341000
13,A260930,╬╬ф╪диюл,20210803,11800,12050,11500,12000,679120,265,19341000
14,A260930,╬╬ф╪диюл,20210802,11750,12150,11400,12050,899724,265,19341000
15,A260930,╬╬ф╪диюл,20210730,13050,13050,11450,11850,1285230,265,19341000
16,A260930,╬╬ф╪диюл,20210729,12100,14550,12100,12850,8478535,265,19341000
17,A260930,╬╬ф╪диюл,20210728,10400,11350,10350,11350,4175970,265,19341000
18,A260930,╬╬ф╪диюл,20210727,8820,8830,8690,8740,15180,265,19341000
19,A260930,╬╬ф╪диюл,20210726,8820,8940,8780,8820,6598,265,19341000
20,A260930,╬╬ф╪диюл,20210723,8680,8820,8630,8820,4853,265,19341000
21,A260930,╬╬ф╪диюл,20210722,8660,8790,8600,8650,7548,265,19341000
22,A260930,╬╬ф╪диюл,20210721,8600,8730,8580,8660,6106,265,19341000
23,A260930,╬╬ф╪диюл,20210720,8630,8680,8580,8640,7977,265,19341000
24,A260930,╬╬ф╪диюл,20210719,8720,8760,8600,8630,15304,265,19341000
25,A260930,╬╬ф╪диюл,20210716,8880,8940,8700,8720,24684,265,19341000
26,A260930,╬╬ф╪диюл,20210715,9010,9010,8720,8880,12781,265,19341000
27,A260930,╬╬ф╪диюл,20210714,8880,9000,8780,8860,11068,265,19341000
28,A260930,╬╬ф╪диюл,20210713,8880,8980,8800,8880,10166,265,19341000
29,A260930,╬╬ф╪диюл,20210712,8840,8980,8810,8830,4890,265,19341000
30,A260930,╬╬ф╪диюл,20210709,8930,9050,8800,8840,21429,265,19341000
31,A260930,╬╬ф╪диюл,20210708,9140,9190,8950,9010,31028,265,19341000
32,A260930,╬╬ф╪диюл,20210707,9280,9330,9100,9140,18982,265,19341000
33,A260930,╬╬ф╪диюл,20210706,9270,9350,9260,9280,17591,265,19341000
34,A260930,╬╬ф╪диюл,20210705,9220,9290,9220,9270,8899,265,19341000
35,A260930,╬╬ф╪диюл,20210702,9200,9280,9170,9250,12761,265,19341000
36,A260930,╬╬ф╪диюл,20210701,9110,9260,9110,9190,8326,265,19341000
37,A260930,╬╬ф╪диюл,20210630,9090,9180,9010,9110,12390,265,19341000
38,A260930,╬╬ф╪диюл,20210629,9150,9240,9050,9090,8811,265,19341000
39,A260930,╬╬ф╪диюл,20210628,9160,9220,9130,9150,6539,265,19341000
