,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฝรฐก,ฐํฐก,ภ๚ฐก,มพฐก,ฐลทกทฎ,ม๕ฑวภüป๊พ๗มพฤฺตๅ,น฿วเมึฝฤผ๖
0,A147970,TIGER ธ๐ธเลา,20210823,23780,24120,23780,24115,9,000,280000
1,A147970,TIGER ธ๐ธเลา,20210820,24080,24380,23680,23765,14478,000,280000
2,A147970,TIGER ธ๐ธเลา,20210819,24890,24890,24240,24240,19,000,280000
3,A147970,TIGER ธ๐ธเลา,20210818,24705,25135,24705,25100,79,000,280000
4,A147970,TIGER ธ๐ธเลา,20210817,25265,25265,24695,24820,261,000,280000
5,A147970,TIGER ธ๐ธเลา,20210813,25660,25660,25280,25375,112,000,280000
6,A147970,TIGER ธ๐ธเลา,20210812,25720,25720,25585,25715,409,000,280000
7,A147970,TIGER ธ๐ธเลา,20210811,25545,25580,25520,25580,25,000,280000
8,A147970,TIGER ธ๐ธเลา,20210810,25745,25745,25410,25595,1051,000,280000
9,A147970,TIGER ธ๐ธเลา,20210809,25760,25760,25580,25670,616,000,280000
10,A147970,TIGER ธ๐ธเลา,20210806,25950,25950,25740,25760,1284,000,280000
11,A147970,TIGER ธ๐ธเลา,20210805,25910,25920,25800,25920,1252,000,280000
12,A147970,TIGER ธ๐ธเลา,20210804,25740,25865,25740,25865,479,000,280000
13,A147970,TIGER ธ๐ธเลา,20210803,25600,25620,25340,25620,8133,000,280000
14,A147970,TIGER ธ๐ธเลา,20210802,25980,25980,25570,25715,446,000,280000
15,A147970,TIGER ธ๐ธเลา,20210730,26145,26145,25855,25925,331,000,280000
16,A147970,TIGER ธ๐ธเลา,20210729,26275,26275,26175,26245,273,000,280000
17,A147970,TIGER ธ๐ธเลา,20210728,26270,26270,25885,26090,2352,000,280000
18,A147970,TIGER ธ๐ธเลา,20210727,26320,26320,26020,26120,1085,000,260000
19,A147970,TIGER ธ๐ธเลา,20210726,26070,26170,25960,26025,617,000,260000
20,A147970,TIGER ธ๐ธเลา,20210723,26135,26205,26090,26170,1636,000,260000
21,A147970,TIGER ธ๐ธเลา,20210722,25795,26010,25775,26000,15911,000,260000
22,A147970,TIGER ธ๐ธเลา,20210721,25695,25730,25520,25540,446,000,260000
23,A147970,TIGER ธ๐ธเลา,20210720,25430,25520,25315,25495,1028,000,260000
24,A147970,TIGER ธ๐ธเลา,20210719,25875,25875,25785,25835,16,000,260000
