,Á¾¸סÄÚµו,Á¾¸ס¸ם,³¯Â¥,½Ã°¡,°ם°¡,Àת°¡,Á¾°¡,°Å·¡·®,Áץ±ÇÀü»ך¾קÁ¾ÄÚµו,¹‗ÇאÁÖ½Ä¼צ
0,A356890,½ÎÀÌ¹צ¿ר,20210823,13200,13450,12950,13300,11646,355,4640000
1,A356890,½ÎÀÌ¹צ¿ר,20210820,14050,14200,12800,13200,77549,355,4640000
2,A356890,½ÎÀÌ¹צ¿ר,20210819,14650,14950,14000,14000,69729,355,4640000
3,A356890,½ÎÀÌ¹צ¿ר,20210818,14800,15150,14300,14750,46991,355,4640000
4,A356890,½ÎÀÌ¹צ¿ר,20210817,15850,16700,14500,14800,229911,355,4640000
5,A356890,½ÎÀÌ¹צ¿ר,20210813,16550,16650,15600,15800,92621,355,4640000
6,A356890,½ÎÀÌ¹צ¿ר,20210812,16200,17250,16200,16500,188819,355,4640000
7,A356890,½ÎÀÌ¹צ¿ר,20210811,16350,16700,16100,16400,57904,355,4640000
8,A356890,½ÎÀÌ¹צ¿ר,20210810,16750,16750,16100,16350,94469,355,4640000
9,A356890,½ÎÀÌ¹צ¿ר,20210809,17100,17500,16800,16850,150415,355,4640000
10,A356890,½ÎÀÌ¹צ¿ר,20210806,17200,17650,17000,17100,243872,355,4640000
11,A356890,½ÎÀÌ¹צ¿ר,20210805,17300,17350,16900,17200,162049,355,4640000
12,A356890,½ÎÀÌ¹צ¿ר,20210804,15800,17300,15750,17300,438935,355,4640000
13,A356890,½ÎÀÌ¹צ¿ר,20210803,16550,17000,15750,15800,166308,355,4640000
14,A356890,½ÎÀÌ¹צ¿ר,20210802,16600,17350,16450,16550,215446,355,4640000
15,A356890,½ÎÀÌ¹צ¿ר,20210730,17500,17950,16500,16600,543101,355,4640000
16,A356890,½ÎÀÌ¹צ¿ר,20210729,16800,17200,16350,17100,260342,355,4640000
17,A356890,½ÎÀÌ¹צ¿ר,20210728,16000,18300,15850,17100,1465805,355,4640000
18,A356890,½ÎÀÌ¹צ¿ר,20210727,15500,16800,15400,16300,888536,355,4640000
19,A356890,½ÎÀÌ¹צ¿ר,20210726,15450,15650,14900,15300,123899,355,4640000
20,A356890,½ÎÀÌ¹צ¿ר,20210723,16100,16200,15350,15600,207707,355,4640000
21,A356890,½ÎÀÌ¹צ¿ר,20210722,14900,16350,14750,15850,824622,355,4640000
22,A356890,½ÎÀÌ¹צ¿ר,20210721,14400,14800,14250,14700,55560,355,4640000
23,A356890,½ÎÀÌ¹צ¿ר,20210720,14500,14800,14250,14400,30638,355,4640000
24,A356890,½ÎÀÌ¹צ¿ר,20210719,14550,14750,14400,14700,21093,355,4640000
25,A356890,½ÎÀÌ¹צ¿ר,20210716,14750,14800,14550,14650,16772,355,4640000
26,A356890,½ÎÀÌ¹צ¿ר,20210715,14650,14900,14600,14800,24969,355,4640000
27,A356890,½ÎÀÌ¹צ¿ר,20210714,14650,14750,14500,14600,17761,355,4640000
28,A356890,½ÎÀÌ¹צ¿ר,20210713,14500,14800,14400,14750,30396,355,4640000
29,A356890,½ÎÀÌ¹צ¿ר,20210712,14400,14700,14350,14500,14438,355,4640000
30,A356890,½ÎÀÌ¹צ¿ר,20210709,14750,14750,14400,14400,41083,355,4640000
31,A356890,½ÎÀÌ¹צ¿ר,20210708,15000,15300,14550,14800,110653,355,4640000
32,A356890,½ÎÀÌ¹צ¿ר,20210707,14550,14800,14400,14550,41117,355,4640000
33,A356890,½ÎÀÌ¹צ¿ר,20210706,14600,14650,14450,14500,18116,355,4640000
34,A356890,½ÎÀÌ¹צ¿ר,20210705,14450,14650,14400,14500,24164,355,4640000
35,A356890,½ÎÀÌ¹צ¿ר,20210702,14650,14700,14300,14450,24069,355,4640000
36,A356890,½ÎÀÌ¹צ¿ר,20210701,14650,14900,14450,14600,35184,355,4640000
37,A356890,½ÎÀÌ¹צ¿ר,20210630,14950,15000,14650,14750,34314,355,4640000
38,A356890,½ÎÀÌ¹צ¿ר,20210629,14300,14850,14300,14850,121748,355,4640000
39,A356890,½ÎÀÌ¹צ¿ר,20210628,14400,14400,14100,14300,26752,355,4640000
40,A356890,½ÎÀÌ¹צ¿ר,20210625,14500,14550,14300,14300,25273,355,4640000
41,A356890,½ÎÀÌ¹צ¿ר,20210624,14550,14600,14350,14400,26515,355,4640000
42,A356890,½ÎÀÌ¹צ¿ר,20210623,14500,14700,14400,14550,24181,355,4640000
43,A356890,½ÎÀÌ¹צ¿ר,20210622,14450,14650,14350,14500,29084,355,4640000
44,A356890,½ÎÀÌ¹צ¿ר,20210621,14350,14550,14300,14500,20082,355,4640000
45,A356890,½ÎÀÌ¹צ¿ר,20210618,14650,14700,14400,14500,26625,355,4640000
46,A356890,½ÎÀÌ¹צ¿ר,20210617,14150,14700,14050,14650,58473,355,4640000
47,A356890,½ÎÀÌ¹צ¿ר,20210616,14050,14300,14050,14150,51514,355,4640000
48,A356890,½ÎÀÌ¹צ¿ר,20210615,14450,14500,13950,14050,115178,355,4640000
49,A356890,½ÎÀÌ¹צ¿ר,20210614,14800,14950,14350,14350,68642,355,4640000
50,A356890,½ÎÀÌ¹צ¿ר,20210611,15200,15500,14000,14750,123258,355,4640000
51,A356890,½ÎÀÌ¹צ¿ר,20210610,15700,15750,15500,15500,21919,355,4640000
52,A356890,½ÎÀÌ¹צ¿ר,20210609,16250,16300,15700,15700,30258,355,4640000
53,A356890,½ÎÀÌ¹צ¿ר,20210608,16000,16250,15700,16050,46807,355,4640000
54,A356890,½ÎÀÌ¹צ¿ר,20210607,16550,16550,15900,15950,50927,355,4640000
55,A356890,½ÎÀÌ¹צ¿ר,20210604,15950,16500,15900,16150,121671,355,4640000
56,A356890,½ÎÀÌ¹צ¿ר,20210603,15750,16000,15600,15900,54683,355,4640000
57,A356890,½ÎÀÌ¹צ¿ר,20210602,15500,16550,15300,15700,122276,355,4640000
58,A356890,½ÎÀÌ¹צ¿ר,20210601,15600,15850,15400,15450,51989,355,4640000
59,A356890,½ÎÀÌ¹צ¿ר,20210531,15550,15550,15250,15400,26327,355,4640000
60,A356890,½ÎÀÌ¹צ¿ר,20210528,15400,15500,15200,15300,36074,355,4640000
61,A356890,½ÎÀÌ¹צ¿ר,20210527,15300,15600,15250,15350,25697,355,4640000
62,A356890,½ÎÀÌ¹צ¿ר,20210526,15550,15550,15250,15350,35429,355,4640000
63,A356890,½ÎÀÌ¹צ¿ר,20210525,15550,15550,15200,15300,27992,355,4640000
64,A356890,½ÎÀÌ¹צ¿ר,20210524,15650,15850,15350,15400,32582,355,4640000
65,A356890,½ÎÀÌ¹צ¿ר,20210521,16150,16150,15650,15650,44169,355,4640000
66,A356890,½ÎÀÌ¹צ¿ר,20210520,16050,16050,15700,15950,59615,355,4640000
67,A356890,½ÎÀÌ¹צ¿ר,20210518,16100,16250,15900,16000,50868,355,4640000
68,A356890,½ÎÀÌ¹צ¿ר,20210517,17050,17250,16050,16100,145184,355,4640000
69,A356890,½ÎÀÌ¹צ¿ר,20210514,17250,17550,16900,16950,140966,355,4640000
70,A356890,½ÎÀÌ¹צ¿ר,20210513,16800,17650,16700,17050,460236,355,4640000
71,A356890,½ÎÀÌ¹צ¿ר,20210512,17050,17050,16500,16850,88817,355,4640000
72,A356890,½ÎÀÌ¹צ¿ר,20210511,16100,17200,16100,16600,261060,355,4640000
73,A356890,½ÎÀÌ¹צ¿ר,20210510,16450,16450,16100,16300,46627,355,4640000
74,A356890,½ÎÀÌ¹צ¿ר,20210507,16100,16300,16000,16150,34099,355,4640000
75,A356890,½ÎÀÌ¹צ¿ר,20210506,16350,16350,16000,16100,62614,355,4640000
76,A356890,½ÎÀÌ¹צ¿ר,20210504,16800,17250,16350,16350,143918,355,4640000
77,A356890,½ÎÀÌ¹צ¿ר,20210503,16450,17300,16450,16700,221076,355,4640000
78,A356890,½ÎÀÌ¹צ¿ר,20210430,16700,16800,16250,16600,59235,355,4640000
79,A356890,½ÎÀÌ¹צ¿ר,20210429,15950,17050,15950,16700,324037,355,4640000
80,A356890,½ÎÀÌ¹צ¿ר,20210428,16300,16300,15700,15900,117862,355,4640000
81,A356890,½ÎÀÌ¹צ¿ר,20210427,16550,16550,16300,16300,80232,355,4640000
82,A356890,½ÎÀÌ¹צ¿ר,20210426,16900,17100,16350,16500,131992,355,4640000
83,A356890,½ÎÀÌ¹צ¿ר,20210423,17300,17400,16700,16800,157851,355,4640000
84,A356890,½ÎÀÌ¹צ¿ר,20210422,17550,17700,17300,17300,143460,355,4640000
85,A356890,½ÎÀÌ¹צ¿ר,20210421,17700,18100,17350,17450,242919,355,4640000
86,A356890,½ÎÀÌ¹צ¿ר,20210420,17800,18250,17550,17600,295980,355,4640000
87,A356890,½ÎÀÌ¹צ¿ר,20210419,17550,18150,17500,17650,432558,355,4640000
88,A356890,½ÎÀÌ¹צ¿ר,20210416,17700,17700,17350,17400,169336,355,4640000
89,A356890,½ÎÀÌ¹צ¿ר,20210415,17300,18050,17250,17700,665014,355,4640000
90,A356890,½ÎÀÌ¹צ¿ר,20210414,17800,17900,17150,17150,251119,355,4640000
91,A356890,½ÎÀÌ¹צ¿ר,20210413,17600,18050,17200,17750,686293,355,4640000
92,A356890,½ÎÀÌ¹צ¿ר,20210412,17100,18100,17100,17400,636166,355,4640000
