,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฝรฐก,ฐํฐก,ภ๚ฐก,มพฐก,ฐลทกทฎ,ม๕ฑวภüป๊พ๗มพฤฺตๅ,น฿วเมึฝฤผ๖
0,A275280,KODEX MSCIธ๐ธเลา,20210823,13195,13195,13195,13195,0,000,600000
1,A275280,KODEX MSCIธ๐ธเลา,20210820,13225,13225,13145,13195,56,000,600000
2,A275280,KODEX MSCIธ๐ธเลา,20210819,13545,13545,13535,13535,22,000,600000
3,A275280,KODEX MSCIธ๐ธเลา,20210818,13580,13675,13580,13665,9,000,600000
4,A275280,KODEX MSCIธ๐ธเลา,20210817,13600,13600,13510,13580,24,000,600000
5,A275280,KODEX MSCIธ๐ธเลา,20210813,13780,13780,13780,13780,0,000,600000
6,A275280,KODEX MSCIธ๐ธเลา,20210812,13980,13980,13920,13920,5,000,600000
7,A275280,KODEX MSCIธ๐ธเลา,20210811,13975,13975,13975,13975,0,000,600000
8,A275280,KODEX MSCIธ๐ธเลา,20210810,14220,14220,14055,14055,41,000,600000
9,A275280,KODEX MSCIธ๐ธเลา,20210809,14200,14200,14195,14195,7,000,600000
10,A275280,KODEX MSCIธ๐ธเลา,20210806,14165,14195,14165,14180,26,000,600000
11,A275280,KODEX MSCIธ๐ธเลา,20210805,14310,14310,14270,14285,25,000,600000
12,A275280,KODEX MSCIธ๐ธเลา,20210804,14115,14230,14115,14230,3,000,600000
13,A275280,KODEX MSCIธ๐ธเลา,20210803,14025,14025,14025,14025,78,000,600000
14,A275280,KODEX MSCIธ๐ธเลา,20210802,14040,14040,14040,14040,0,000,600000
15,A275280,KODEX MSCIธ๐ธเลา,20210730,14140,14140,14140,14140,1,000,600000
16,A275280,KODEX MSCIธ๐ธเลา,20210729,14150,14160,14125,14140,13,000,600000
17,A275280,KODEX MSCIธ๐ธเลา,20210728,14185,14185,14060,14060,4,000,600000
18,A275280,KODEX MSCIธ๐ธเลา,20210727,14165,14190,14165,14190,21,000,600000
19,A275280,KODEX MSCIธ๐ธเลา,20210726,14115,14115,14115,14115,1,000,600000
20,A275280,KODEX MSCIธ๐ธเลา,20210723,14190,14190,14190,14190,11,000,600000
21,A275280,KODEX MSCIธ๐ธเลา,20210722,14120,14130,14120,14130,2,000,600000
22,A275280,KODEX MSCIธ๐ธเลา,20210721,14050,14050,13965,13965,21,000,600000
23,A275280,KODEX MSCIธ๐ธเลา,20210720,14050,14050,14050,14050,1,000,600000
24,A275280,KODEX MSCIธ๐ธเลา,20210719,14170,14170,14170,14170,0,000,600000
25,A275280,KODEX MSCIธ๐ธเลา,20210716,14310,14310,14310,14310,0,000,600000
26,A275280,KODEX MSCIธ๐ธเลา,20210715,14360,14360,14360,14360,0,000,600000
27,A275280,KODEX MSCIธ๐ธเลา,20210714,14295,14295,14295,14295,10,000,600000
28,A275280,KODEX MSCIธ๐ธเลา,20210713,14270,14295,14255,14295,4,000,600000
29,A275280,KODEX MSCIธ๐ธเลา,20210712,14180,14215,14180,14200,10,000,600000
30,A275280,KODEX MSCIธ๐ธเลา,20210709,14020,14075,13970,14075,54,000,600000
31,A275280,KODEX MSCIธ๐ธเลา,20210708,14310,14310,14265,14265,5,000,600000
32,A275280,KODEX MSCIธ๐ธเลา,20210707,14380,14395,14365,14365,3,000,600000
33,A275280,KODEX MSCIธ๐ธเลา,20210706,14390,14390,14390,14390,15,000,600000
34,A275280,KODEX MSCIธ๐ธเลา,20210705,14340,14380,14340,14380,2,000,600000
35,A275280,KODEX MSCIธ๐ธเลา,20210702,14320,14365,14320,14340,3,000,600000
36,A275280,KODEX MSCIธ๐ธเลา,20210701,14320,14320,14320,14320,1,000,600000
37,A275280,KODEX MSCIธ๐ธเลา,20210630,14355,14440,14355,14440,36,000,600000
38,A275280,KODEX MSCIธ๐ธเลา,20210629,14305,14305,14305,14305,100,000,600000
39,A275280,KODEX MSCIธ๐ธเลา,20210628,14340,14340,14305,14305,72,000,600000
40,A275280,KODEX MSCIธ๐ธเลา,20210625,14355,14355,14315,14315,12,000,600000
41,A275280,KODEX MSCIธ๐ธเลา,20210624,14290,14300,14240,14240,107,000,600000
42,A275280,KODEX MSCIธ๐ธเลา,20210623,14225,14225,14225,14225,3,000,600000
43,A275280,KODEX MSCIธ๐ธเลา,20210622,14125,14145,14125,14145,2,000,600000
44,A275280,KODEX MSCIธ๐ธเลา,20210621,14050,14050,14050,14050,0,000,600000
45,A275280,KODEX MSCIธ๐ธเลา,20210618,14135,14155,14135,14155,3,000,600000
46,A275280,KODEX MSCIธ๐ธเลา,20210617,14080,14080,14080,14080,0,000,600000
47,A275280,KODEX MSCIธ๐ธเลา,20210616,14060,14080,14060,14080,3,000,600000
48,A275280,KODEX MSCIธ๐ธเลา,20210615,13970,13970,13970,13970,1626,000,600000
49,A275280,KODEX MSCIธ๐ธเลา,20210614,13940,14000,13940,13990,60048,000,600000
50,A275280,KODEX MSCIธ๐ธเลา,20210611,13805,13905,13805,13905,104,000,600000
51,A275280,KODEX MSCIธ๐ธเลา,20210610,13725,13770,13725,13770,22,000,600000
52,A275280,KODEX MSCIธ๐ธเลา,20210609,13825,13825,13755,13755,229,000,600000
53,A275280,KODEX MSCIธ๐ธเลา,20210608,13815,13860,13815,13830,136,000,600000
54,A275280,KODEX MSCIธ๐ธเลา,20210607,13815,13815,13815,13815,1,000,600000
55,A275280,KODEX MSCIธ๐ธเลา,20210604,13865,13865,13865,13865,1,000,600000
56,A275280,KODEX MSCIธ๐ธเลา,20210603,13890,13890,13890,13890,0,000,600000
57,A275280,KODEX MSCIธ๐ธเลา,20210602,13875,13875,13760,13765,22,000,600000
58,A275280,KODEX MSCIธ๐ธเลา,20210601,13715,13780,13715,13760,10,000,600000
59,A275280,KODEX MSCIธ๐ธเลา,20210531,13700,13715,13615,13715,920,000,600000
60,A275280,KODEX MSCIธ๐ธเลา,20210528,13660,13700,13660,13700,45,000,600000
61,A275280,KODEX MSCIธ๐ธเลา,20210527,13495,13660,13475,13660,338,000,600000
62,A275280,KODEX MSCIธ๐ธเลา,20210526,13680,13690,13680,13690,6,000,600000
63,A275280,KODEX MSCIธ๐ธเลา,20210525,13635,13680,13635,13680,17,000,600000
64,A275280,KODEX MSCIธ๐ธเลา,20210524,13685,13685,13555,13555,2,000,600000
65,A275280,KODEX MSCIธ๐ธเลา,20210521,13785,13785,13660,13690,26,000,600000
66,A275280,KODEX MSCIธ๐ธเลา,20210520,13565,13565,13565,13565,1,000,600000
67,A275280,KODEX MSCIธ๐ธเลา,20210518,13540,13585,13535,13585,13,000,600000
68,A275280,KODEX MSCIธ๐ธเลา,20210517,13450,13450,13385,13400,89,000,600000
69,A275280,KODEX MSCIธ๐ธเลา,20210514,13450,13450,13450,13450,1,000,600000
70,A275280,KODEX MSCIธ๐ธเลา,20210513,13390,13390,13270,13270,553,000,600000
71,A275280,KODEX MSCIธ๐ธเลา,20210512,13685,13685,13490,13500,1571,000,600000
72,A275280,KODEX MSCIธ๐ธเลา,20210511,13775,13780,13715,13740,258,000,600000
73,A275280,KODEX MSCIธ๐ธเลา,20210510,13925,14040,13855,14040,117,000,600000
74,A275280,KODEX MSCIธ๐ธเลา,20210507,13815,13815,13815,13815,1,000,600000
75,A275280,KODEX MSCIธ๐ธเลา,20210506,13660,13675,13615,13615,52,000,600000
76,A275280,KODEX MSCIธ๐ธเลา,20210504,13515,13685,13515,13675,47,000,600000
77,A275280,KODEX MSCIธ๐ธเลา,20210503,13760,13760,13620,13620,9,000,600000
78,A275280,KODEX MSCIธ๐ธเลา,20210430,13835,13835,13735,13735,4,000,600000
79,A275280,KODEX MSCIธ๐ธเลา,20210429,13965,13965,13945,13945,25,000,600000
80,A275280,KODEX MSCIธ๐ธเลา,20210428,14221,14221,13975,13975,69,000,600000
81,A275280,KODEX MSCIธ๐ธเลา,20210427,14226,14226,14226,14226,7,000,600000
82,A275280,KODEX MSCIธ๐ธเลา,20210426,14172,14221,14147,14221,87,000,600000
83,A275280,KODEX MSCIธ๐ธเลา,20210423,14162,14162,14142,14142,149,000,600000
84,A275280,KODEX MSCIธ๐ธเลา,20210422,14216,14216,14137,14142,563,000,600000
85,A275280,KODEX MSCIธ๐ธเลา,20210421,14295,14295,14295,14295,1,000,600000
86,A275280,KODEX MSCIธ๐ธเลา,20210420,14365,14429,14365,14429,51,000,600000
87,A275280,KODEX MSCIธ๐ธเลา,20210419,14394,14454,14365,14365,17010,000,600000
88,A275280,KODEX MSCIธ๐ธเลา,20210416,14325,14350,14320,14350,13,000,600000
89,A275280,KODEX MSCIธ๐ธเลา,20210415,14300,14325,14281,14325,7,000,600000
90,A275280,KODEX MSCIธ๐ธเลา,20210414,14226,14246,14226,14246,14,000,600000
91,A275280,KODEX MSCIธ๐ธเลา,20210413,13984,14182,13984,14147,22,000,600000
92,A275280,KODEX MSCIธ๐ธเลา,20210412,13975,13975,13975,13975,0,000,600000
93,A275280,KODEX MSCIธ๐ธเลา,20210409,13989,13989,13975,13975,32,000,600000
94,A275280,KODEX MSCIธ๐ธเลา,20210408,13955,13989,13955,13989,2,000,600000
95,A275280,KODEX MSCIธ๐ธเลา,20210407,13876,13900,13866,13900,160,000,600000
96,A275280,KODEX MSCIธ๐ธเลา,20210406,13915,13920,13915,13920,243,000,600000
97,A275280,KODEX MSCIธ๐ธเลา,20210405,13940,13940,13807,13856,95,000,600000
98,A275280,KODEX MSCIธ๐ธเลา,20210402,13836,13881,13836,13881,13,000,600000
99,A275280,KODEX MSCIธ๐ธเลา,20210401,13634,13728,13634,13728,86,000,600000
100,A275280,KODEX MSCIธ๐ธเลา,20210331,13634,13634,13570,13570,76,000,600000
101,A275280,KODEX MSCIธ๐ธเลา,20210330,13654,13654,13614,13614,3,000,600000
102,A275280,KODEX MSCIธ๐ธเลา,20210329,13476,13491,13476,13491,269,000,600000
103,A275280,KODEX MSCIธ๐ธเลา,20210326,13486,13540,13486,13540,406,000,600000
104,A275280,KODEX MSCIธ๐ธเลา,20210325,13421,13421,13421,13421,790,000,600000
105,A275280,KODEX MSCIธ๐ธเลา,20210324,13377,13412,13377,13412,5,000,600000
106,A275280,KODEX MSCIธ๐ธเลา,20210323,13614,13614,13476,13476,14,000,600000
107,A275280,KODEX MSCIธ๐ธเลา,20210322,13599,13644,13599,13644,8,000,600000
108,A275280,KODEX MSCIธ๐ธเลา,20210319,13604,13688,13604,13688,12,000,600000
109,A275280,KODEX MSCIธ๐ธเลา,20210318,13846,13846,13797,13797,111,000,600000
110,A275280,KODEX MSCIธ๐ธเลา,20210317,13663,13663,13565,13565,10,000,600000
111,A275280,KODEX MSCIธ๐ธเลา,20210316,13658,13718,13658,13713,406,000,600000
112,A275280,KODEX MSCIธ๐ธเลา,20210315,13683,13698,13634,13634,252,000,600000
113,A275280,KODEX MSCIธ๐ธเลา,20210312,13742,13742,13619,13703,282,000,600000
114,A275280,KODEX MSCIธ๐ธเลา,20210311,13268,13515,13268,13500,36,000,600000
115,A275280,KODEX MSCIธ๐ธเลา,20210310,13412,13412,13229,13229,4,000,600000
116,A275280,KODEX MSCIธ๐ธเลา,20210309,13051,13170,13007,13170,19,000,600000
117,A275280,KODEX MSCIธ๐ธเลา,20210308,13530,13555,13298,13298,478,000,600000
118,A275280,KODEX MSCIธ๐ธเลา,20210305,13421,13550,13323,13525,57,000,600000
119,A275280,KODEX MSCIธ๐ธเลา,20210304,13688,13688,13629,13639,15,000,600000
120,A275280,KODEX MSCIธ๐ธเลา,20210303,13752,13876,13654,13876,33,000,600000
121,A275280,KODEX MSCIธ๐ธเลา,20210302,13871,13871,13575,13639,379,000,600000
122,A275280,KODEX MSCIธ๐ธเลา,20210226,13535,13550,13372,13372,298,000,600000
123,A275280,KODEX MSCIธ๐ธเลา,20210225,13663,13920,13634,13920,292,000,600000
124,A275280,KODEX MSCIธ๐ธเลา,20210224,13639,13639,13421,13421,4,000,600000
125,A275280,KODEX MSCIธ๐ธเลา,20210223,13742,13742,13639,13698,47,000,600000
126,A275280,KODEX MSCIธ๐ธเลา,20210222,14049,14063,13886,13945,316,000,600000
127,A275280,KODEX MSCIธ๐ธเลา,20210219,13900,14078,13900,14078,5,000,600000
128,A275280,KODEX MSCIธ๐ธเลา,20210218,14068,14098,14068,14098,30407,000,600000
129,A275280,KODEX MSCIธ๐ธเลา,20210217,14305,14305,14305,14305,5,000,600000
130,A275280,KODEX MSCIธ๐ธเลา,20210216,14419,14463,14419,14463,67,000,600000
131,A275280,KODEX MSCIธ๐ธเลา,20210215,14399,14414,14365,14374,146,000,600000
132,A275280,KODEX MSCIธ๐ธเลา,20210210,14044,14152,13994,14152,67,000,600000
133,A275280,KODEX MSCIธ๐ธเลา,20210209,14162,14162,14034,14034,39,000,600000
134,A275280,KODEX MSCIธ๐ธเลา,20210208,14118,14231,14083,14083,25,000,600000
135,A275280,KODEX MSCIธ๐ธเลา,20210205,14246,14246,14093,14246,146,000,600000
136,A275280,KODEX MSCIธ๐ธเลา,20210204,14335,14335,14024,14118,621,000,600000
137,A275280,KODEX MSCIธ๐ธเลา,20210203,14152,14355,14093,14355,205,000,600000
138,A275280,KODEX MSCIธ๐ธเลา,20210202,14320,14320,14073,14073,217,000,600000
139,A275280,KODEX MSCIธ๐ธเลา,20210201,13895,13895,13787,13856,70,000,600000
140,A275280,KODEX MSCIธ๐ธเลา,20210129,13663,13663,13663,13663,17401,000,600000
141,A275280,KODEX MSCIธ๐ธเลา,20210128,13777,14083,13777,14083,1053,000,600000
142,A275280,KODEX MSCIธ๐ธเลา,20210127,14286,14463,14221,14266,81,000,600000
143,A275280,KODEX MSCIธ๐ธเลา,20210126,14582,14582,14310,14310,1638,000,600000
144,A275280,KODEX MSCIธ๐ธเลา,20210125,14360,14602,14350,14602,51,000,600000
145,A275280,KODEX MSCIธ๐ธเลา,20210122,14389,14414,14300,14320,120,000,600000
146,A275280,KODEX MSCIธ๐ธเลา,20210121,14192,14256,14192,14256,1372,000,600000
147,A275280,KODEX MSCIธ๐ธเลา,20210120,14103,14103,14103,14103,2,000,600000
148,A275280,KODEX MSCIธ๐ธเลา,20210119,13545,14014,13545,13895,38,000,600000
149,A275280,KODEX MSCIธ๐ธเลา,20210118,13649,13698,13545,13545,32,000,600000
150,A275280,KODEX MSCIธ๐ธเลา,20210115,14379,14379,13900,13945,128,000,600000
151,A275280,KODEX MSCIธ๐ธเลา,20210114,14162,14261,14147,14147,430,000,600000
152,A275280,KODEX MSCIธ๐ธเลา,20210113,14216,14261,14152,14256,106,000,600000
153,A275280,KODEX MSCIธ๐ธเลา,20210112,14123,14221,13767,14058,359,000,600000
154,A275280,KODEX MSCIธ๐ธเลา,20210111,14365,14834,13994,14315,803,000,600000
155,A275280,KODEX MSCIธ๐ธเลา,20210108,13826,14054,13826,14024,60,000,600000
156,A275280,KODEX MSCIธ๐ธเลา,20210107,13466,13629,13466,13629,112,000,600000
157,A275280,KODEX MSCIธ๐ธเลา,20210106,13614,13629,13308,13308,262,000,600000
158,A275280,KODEX MSCIธ๐ธเลา,20210105,13352,13466,13244,13466,6041,000,600000
159,A275280,KODEX MSCIธ๐ธเลา,20210104,13091,13357,13026,13352,11389,000,600000
160,A275280,KODEX MSCIธ๐ธเลา,20201230,12730,13026,12730,13026,83,000,600000
161,A275280,KODEX MSCIธ๐ธเลา,20201229,12710,12784,12676,12784,1102,000,600000
162,A275280,KODEX MSCIธ๐ธเลา,20201228,12513,12523,12394,12394,375,000,600000
163,A275280,KODEX MSCIธ๐ธเลา,20201224,12296,12409,12296,12360,487,000,600000
164,A275280,KODEX MSCIธ๐ธเลา,20201223,12226,12231,12226,12231,101,000,600000
165,A275280,KODEX MSCIธ๐ธเลา,20201222,12276,12276,12083,12083,14,000,600000
166,A275280,KODEX MSCIธ๐ธเลา,20201221,12266,12315,12266,12315,74,000,600000
