,0,1
0,[거래량/거래대금 상위종목] CpSysDib.CpSvr7049,"object.SetInputValue(type,value)"
1,[주식선물 6주간] CpSysDib.FutStockWeek,"object.SetInputValue(type,value)"
2,[주식선물 종목 실시간 현재가] CpSysDib.FutStockCurS,"object.SetInputValue(type,value)"
3,[주식선물 종목 현재가] CpSysDib.FutStockMst,"object.SetInputValue(type,value)"
4,[업종별 투자자 매매현황 실시간] CpSysDib.CpSvrNew7221S,설명: 업종별 투자자 매매현황 실시간 시세수신을 등록하고 데이터를 수신한다.
5,[파생상품 예상체결가] DsCbo1.CpSvr9027,"object.SetInputValue(type,value)"
6,[체결기준 주식 당일매매손익] cptrade.CpTd6032," 설명: 체결기준 주식 당일매매손익 데이터를 요청하고 수신한다
 통신종류: Request/Reply
 모듈위치: CpTrade.dll"
7,[종목별 프로그램매매 추이 리스트(일자별)] DsCbo1.CpSvrNew8119Day,"object.SetInputValue(type,value)"
8,[종목별 프로그램매매 추이 (실시간)] CpSysDib.CpSvr8119S,"object.SetInputValue(type,value)"
9,[종목별 프로그램매매 추이 차트(시간대별)] DsCbo1.CpSvrNew8119Chart,"object.SetInputValue(type,value)"
10,[종목별 프로그램매매 추이 리스트(시간대별)] DsCbo1.CpSvrNew8119,"object.SetInputValue(type,value)"
11,[종목 시간별 잠정데이터] CpSysDib.CpSvr7210T,0 - (string)종목코드
12,[종목별 투자자 매매동향(잠정)데이터] CpSysDib.CpSvr7210d,"0 - (string)시장구분
'0' : 전체"
13,"[ETF(NAV), ETN(IIV) 시간대별 실시간 데이터] CpSysDib.CpSvrNew7244S","object.SetInputValue(type,value)"
14,[해외선물 실시간 주문체결 수신] CpForeDib.OvFutConclusion,해외선물 주문의의 체결수신을 등록하고 데이터를 수신한다.
15,[해외선물 실시간 잔고수신] CpForeDib.OvFutBalance,
16,[해외선물 실시간 주문 접수수신] CpForeDib.OvFutOrdReceive,
17,[해외선물 예수금] CpForeTrade.OvfDepositRecInq,
18,[해외선물 미결제] CpForeTrade.OvfNotPaymentInq,해외선물의 미결제내역을 요청하고 수신한다.
19,[해외선물 미체결] CpForeTrade.OvFutNotConInq,해외선물의 미체결 내역을 요청하고 수신한다.
20,[해외선물 체결내역] CpForeTrade.OvFutConInq,
21,[해외선물 주문] CpForeTrade.OvFutOrder,"해외선물의 매수, 매도, 정정, 취소 주문을 요청하고 결과를 수신한다."
22,[해외선물 실시간 호가잔량] CpForeDib.OvFutBid,
23,[해외선물 실시간 현재가] CpForeDib.OvFutCur,해외파생 선물의 체결 시세수신을 등록하고 데이터를 수신한다.
24,[해외선물차트] CpForeDib.OvFutureChart,
25,[해외선물 현재가] CpForeDib.OvFutMst,설명: 해외파생 선물의 현재가 데이터를 요청하고 수신한다.
26,[회원사별 종목 매매동향] Dscbo1.CpSvr8412, 
27,[시장조치사항] CpSysDib.CpSvr9619S,
28,[매매입체분석] CpSysDib.CpSvr7254,"object.SetInputValue(type,value)"
29,[종목검색 실시간 신호] CpSysDib.CssAlert,"object.SetInputValue(type,value)"
30,[종목검색 전략 감시 시작/중지] CpSysDib.CssWatchStgControl,
31,[종목검색 전략 감시 일련번호] CpSysDib.CssWatchStgSubscribe,"object.SetInputValue(type,value)"
32,[종목검색 검색 종목 리스트] CpSysDib.CssStgFind,"object.SetInputValue(type,value)"
33,"[종목검색 전략명, 전략ID 리스트] CpSysDib.CssStgList","object.SetInputValue(type,value)"
34,CpIndexes.CpIndex,Return:(int)해당차트 지표명의 차트지표 인덱스값
35,CpIndexes.CpSeries,GetLow(long)
36,[ETN(IIV) 일자별] Dscbo1.CpSvr7719,"object.SetInputValue(type,value)"
37,[ETN(IIV) 시간대별] Dscbo1.CpSvr7718,"object.SetInputValue(type,value)"
38,[ETF(NAV) 일자별] Dscbo1.CpSvr7246,"object.SetInputValue(type,value)"
39,[ETF(NAV) 시간대별] Dscbo1.CpSvr7244,"object.SetInputValue(type,value)"
40,[일자별 대차거래] CpSysDib.CpSvr7240,"object.SetInputValue(type,value)"
41,[융자 주식 및 대금의 변동] CpSysDib.CpSvr7151,"object.SetInputValue(type,value)"
42,CybosPlus FAQ,CybosPlus는뭔가요?
43,[종목별 공매도 추이] CpSysDib.CpSvr7238,
44,[주식 체결 금액대별 매매비중] CpSysDib.CpSvr7236,"object.SetInputValue(type,value)"
45,[매수체결비중 상위종목] CpSysDib.CpSvr7034,
46,[주식 가격대별 매매비중] CpSysDib.CpSvr7033,"object.SetInputValue(type,value)"
47,CybosPlus Etc,- CYBOS Code규칙
48,CybosPlus Interface,Method
49,CybosPlus Communication,대신증권의통신은Request/Reply ( RQ/RP ) 방식과Subscribe/Publish (SB/PB) 방식으로
50,CybosPlus Development,"COM Object 라이브러리를사용할수있는, 어떤개발환경이든가능합니다.
익스플로러같은웹브라우저에서동작하는형태이거나,
비주얼베이직이나비주얼 C++로작성된응용프로그램일수있습니다.
또는 Excel과같은 Office 프로그램으로작성하실수도있습니다."
