번호,종목코드,종목명,fullcode,상업코드
91,A001420,태원물산,KR7001420009,015
92,A001430,세아베스틸,KR7001430008,011
93,A001440,대한전선,KR7001440007,013
94,A001450,현대해상,KR7001450006,025
95,A001460,BYC,KR7001460005,006
96,A001465,BYC우,KR7001461003,006
97,A001470,삼부토건,KR7001470004,018
98,A001490,천지산업,KR7001490002,699
99,A001500,현대차증권,KR7001500008,024
100,A001510,SK증권,KR7001510007,024
101,A001515,SK증권우,KR7001511005,024
102,A001520,동양,KR7001520006,010
103,A001525,동양우,KR7001521004,010
104,A001527,동양2우B,KR7001522002,010
105,A001529,동양3우B,KR7001523000,010
106,A001530,DI동일,KR7001530005,016
107,A001540,안국약품,KR7001540004,266
108,A001550,조비,KR7001550003,008
109,A001560,제일연마,KR7001560002,010
110,A001570,금양,KR7001570001,008
111,A001620,케이비아이동국실업,KR7001620004,015
112,A001630,종근당홀딩스,KR7001630003,009
113,A001680,대상,KR7001680008,005
114,A001685,대상우,KR7001681006,005
115,A001720,신영증권,KR7001720002,024
116,A001725,신영증권우,KR7001721000,024
117,A001740,SK네트웍스,KR7001740000,016
118,A001745,SK네트웍스우,KR7001741008,016
119,A001750,한양증권,KR7001750009,024
120,A001755,한양증권우,KR7001751007,024
121,A001770,SHD,KR7001770007,011
122,A001780,알루코,KR7001780006,011
123,A001790,대한제당,KR7001790005,005
124,A001795,대한제당우,KR7001791003,005
125,A001800,오리온홀딩스,KR7001800002,021
126,A001810,무림SP,KR7001810001,262
127,A001820,삼화콘덴서,KR7001820000,013
128,A001840,이화공영,KR7001840008,226
129,A001880,DL건설,KR7001880004,018
130,A001890,에이치디씨영창,KR7001890003,699
131,A001940,KISCO홀딩스,KR7001940006,011
132,A001970,SG신성건설,KR7001970003,699
133,A002020,코오롱,KR7002020006,021
134,A002025,코오롱우,KR7002021004,021
135,A002030,아세아,KR7002030005,026
136,A002070,비비안,KR7002070001,006
137,A002100,경농,KR7002100006,008
138,A002140,고려산업,KR7002140002,005
139,A002150,도화엔지니어링,KR7002150001,026
140,A002170,삼양통상,KR7002170009,004
141,A002200,한국수출포장,KR7002200004,007
142,A002210,동성제약,KR7002210003,009
143,A002220,한일철강,KR7002220002,011
144,A002230,피에스텍,KR7002230001,274
145,A002240,고려제강,KR7002240000,011
146,A002270,롯데푸드,KR7002270007,005
147,A002290,삼일기업공사,KR7002290005,226
148,A002310,아세아제지,KR7002310001,007
149,A002320,한진,KR7002320000,019
150,A002350,넥센타이어,KR7002350007,008
151,A002355,넥센타이어1우B,KR7002351005,008
152,A002360,SH에너지화학,KR7002360006,008
153,A002380,KCC,KR7002380004,008
154,A002390,한독,KR7002390003,009
155,A002410,범양건영,KR7002410009,018
156,A002420,세기상사,KR7002420008,026
157,A002450,삼익악기,KR7002450005,004
158,A002460,화성산업,KR7002460004,018
159,A002470,신영건설,KR7002470003,699
160,A002480,범양사,KR7002480002,699
161,A002580,삼미,KR7002580009,699
162,A002600,조흥,KR7002600005,005
163,A002620,제일파마홀딩스,KR7002620003,026
164,A002630,오리엔트바이오,KR7002630002,009
165,A002680,한탑,KR7002680007,256
166,A002690,동일제강,KR7002690006,011
167,A002700,신일전자,KR7002700003,016
168,A002710,TCC스틸,KR7002710002,011
169,A002720,국제약품,KR7002720001,009
170,A002760,보락,KR7002760007,008
171,A002780,진흥기업,KR7002780005,018
172,A002785,진흥기업우B,KR7002781003,018
173,A002787,진흥기업2우B,KR7002782001,018
174,A002790,아모레G,KR7002790004,008
175,A002795,아모레G우,KR7002791002,008
176,A00279K,아모레G3우(전환),KR700279K010,008
177,A002800,신신제약,KR7002800001,266
178,A002810,삼영무역,KR7002810000,016
179,A002820,SUN&L,KR7002820009,007
180,A002840,미원상사,KR7002840007,008
181,A002870,신풍제지,KR7002870004,007
182,A002880,대유에이텍,KR7002880003,015
183,A002900,TYM,KR7002900009,012
184,A002920,유성기업,KR7002920007,015
185,A002960,한국쉘석유,KR7002960003,008
186,A002990,금호건설,KR7002990000,018
187,A002995,금호건설우,KR7002991008,018
188,A003000,부광약품,KR7003000007,009
189,A003010,혜인,KR7003010006,016
190,A003030,세아제강지주,KR7003030004,021
191,A003060,에이프로젠제약,KR7003060001,009
192,A003070,코오롱글로벌,KR7003070000,018
193,A003075,코오롱글로벌우,KR7003071008,018
194,A003080,성보화학,KR7003080009,008
195,A003090,대웅,KR7003090008,021
196,A003100,선광,KR7003100005,229
197,A003120,일성신약,KR7003120003,009
198,A003160,디아이,KR7003160009,014
199,A003200,일신방직,KR7003200003,006
200,A003220,대원제약,KR7003220001,009
201,A003230,삼양식품,KR7003230000,005
202,A003240,태광산업,KR7003240009,008
203,A003260,서광,KR7003260007,699
204,A003280,흥아해운,KR7003280005,019
205,A003300,한일홀딩스,KR7003300001,010
206,A003310,대주산업,KR7003310000,256
207,A003340,SK에코플랜트,KR7003340007,699
208,A003350,한국화장품제조,KR7003350006,008
209,A003380,하림지주,KR7003380003,231
210,A003410,쌍용C&E,KR7003410008,010
211,A003460,유화증권,KR7003460003,024
212,A003465,유화증권우,KR7003461001,024
213,A003470,유안타증권,KR7003470002,024
214,A003475,유안타증권우,KR7003471000,024
215,A003480,한진중공업홀딩스,KR7003480001,017
216,A003490,대한항공,KR7003490000,019
217,A003495,대한항공우,KR7003491008,019
218,A003520,영진약품,KR7003520004,009
